"Related Search Terms","Termos de Pesquisa Relacionados"
"Add New Search Term","Adicionar Novo Termo de Pesquisa"
"Enable Search Recommendations","Enable Search Recommendations"
"When you enable this option your site may slow down.","When you enable this option your site may slow down."
"Search Recommendations Count","Search Recommendations Count"
"Show Results Count for Each Recommendation","Show Results Count for Each Recommendation"
"Enable Search Suggestions","Enable Search Suggestions"
"Search Suggestions Count","Search Suggestions Count"
"Show Results Count for Each Suggestion","Show Results Count for Each Suggestion"
"ID","ID"
"Search Query","Search Query"
"Store","Loja"
"Results","Resultados"
"Uses","Usos"
"Synonym","Sinônimo"
"Redirect URL","URL de redirecionamento"
"Suggested Term","Suggested Term"
"Yes","Sim"
"No","Não"
"Action","Ação"
"Edit","Editar"
