"You created the order.","Você criou o pedido."
"Order saving error: %1","Erro na gravação do pedido: %1"
"Please choose a payment method.","Por favor, escolha um método de pagamento."
"We can't process your order right now. Please try again later.","Não foi possível processar seu pedido agora. Por favor, tente novamente mais tarde."
"Cannot place order.","Não foi possível fechar o pedido."
"Credit Card: xxxx-%1","Cartão de crédito: xxxx-%1"
"amount %1","montante %1"
"failed.","falhou."
"successful.","sucesso."
"Authorize.Net Transaction ID %1.","Authorize.Net ID da Transação %1."
"authorize","autorizar"
"authorize and capture","autorizar e capturar"
"capture","capturar"
"refund","reembolsar"
"void","anular"
"Gateway error: %1","Erro no gateway: %1"
"Something went wrong in the payment gateway.","Algo deu errado no gateway de pagamento."
"Invalid amount for capture.","Valor inválido para captura."
"Payment capturing error.","Erro na captura do pagamento."
"Invalid transaction ID.","ID da transação inválido."
"Payment voiding error.","Erro no cancelamento do pagamento."
"Invalid amount for refund.","Valor inválido para reembolso."
"Payment refunding error.","Erro no estorno do pagamento."
"The transaction was declined because the response hash validation failed.","A transação foi recusada porque a validação do hash da resposta falhou."
"This payment didn't work out because we can't find this order.","Este pagamento não processou porque o pedido não foi encontrado."
"There was a payment authorization error.","Houve um erro na autorização do pagamento."
"Please enter a transaction ID to authorize this payment.","Por favor, informe um ID de transação para autorizar este pagamento."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Transação %1 foi aprovada. Valor %2. Status da transação é ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Transação %1 foi anulada/recusada. Status da transação é ""%2"". Valor %3."
"Authorize Only","Apenas Autorizar"
"Authorize and Capture","Autorizar e Capturar"
"Unable to get transaction details. Try again later.","Não é possível obter detalhes de transação. Tente novamente mais tarde."
"Credit Card Type","Tipo do Cartão de Crédito"
"Credit Card Number","Número do Cartão de Crédito"
"Expiration Date","Data de Validade"
"Card Verification Number","Código de Verificação do Cartão"
"Fraud Detection ","Detecção de Fraudes "
"FDS Filter Action","Ação do Filtro FDS"
"AVS Response","Resposta AVS"
"Card Code Response","Resposta do Código do Cartão"
"CAVV Response","Resposta CAVV"
"Fraud Filters","Filtros de fraude"
"Authorize.net Direct Post","Authorize.net Direct Post"
"Enabled","Habilitado"
"Payment Action","Payment Action"
"Title","Título"
"API Login ID","API Login ID"
"Transaction Key","Transaction Key"
"Merchant MD5","Merchant MD5"
"New Order Status","New Order Status"
"Test Mode","Test Mode"
"Gateway URL","Gateway URL"
"Transaction Details URL","Transaction Details URL"
"Accepted Currency","Accepted Currency"
"Debug","Depurar/Debug"
"Email Customer","Email Customer"
"Merchant's Email","Merchant's Email"
"Credit Card Types","Credit Card Types"
"Credit Card Verification","Credit Card Verification"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Minimum Order Total","Minimum Order Total"
"Maximum Order Total","Maximum Order Total"
"Sort Order","Ordernação"
