"Invalid Form Key. Please refresh the page.","Salvar Conta"
"You entered an invalid Secret Key. Please refresh the page.","Você inseriu uma Chave Secreta inválida. Por favor, atualize a página."
"Cache Storage Management","Gerenciamento de Cache"
"Flush Magento Cache","Liberar Cache do Magento"
"The cache storage may contain additional data. Are you sure that you want to flush it?","O cache armazenado pode conter dados adicionais. Você tem certeza que deseja liberá-lo?"
"Flush Cache Storage","Liberar Cache Armazenado"
"Invalidated","Invalidado"
"Orders","Pedidos"
"Amounts","Montantes"
"Bestsellers","Mais Vendidos"
"Most Viewed Products","Produtos Mais Visualizados"
"New Customers","Novos Clientes"
"Customers","Clientes"
"Customer","Cliente"
"Guest","Visitante"
"Items","Itens"
"Total","Total"
"Lifetime Sales","Vendas Acumuladas"
"Average Order","Ticket Médio"
"Average","Média"
"Product","Produto"
"Price","Preço"
"Quantity","Quantidade"
"Views","Visões"
"Revenue","Receita"
"Tax","Taxa"
"Shipping","Frete"
"Images (.gif, .jpg, .png)","Imagens (. gif,. jpg,. png)"
"Media (.avi, .flv, .swf)","Mídia (.avi, .flv, .swf)"
"All Files","Todos os Arquivos"
"Reset to Default","Voltar ao Padrão"
"All Store Views","Todas as Visões de Loja"
"What is this?","O que é isto?"
"Save Account","Salvar Conta"
"My Account","Minha Conta"
"Account Information","Informações da Conta"
"User Name","Nome de Usuário"
"First Name","Nome"
"Last Name","Sobrenome"
"Email","E-mail"
"User Email","E-mail de Usuário"
"New Password","Nova Senha"
"Password Confirmation","Confirmação de Senha"
"Interface Locale","Idioma da interface"
"Current User Identity Verification","Verificação de identidade do usuário atual"
"Your Password","Sua Senha"
"Save Cache Settings","Salvar Configurações de Cache"
"Catalog Rewrites","Reescrita de Catálogo"
"Refresh","Atualizar"
"Images Cache","Cache de Imagens"
"Clear","Limpar"
"Search Index","Índice de Pesquisa"
"Rebuild","Recriar"
"Inventory Stock Status","Status do Estoque"
"Rebuild Catalog Index","Reconstruir Índice do Catálogo"
"Rebuild Flat Catalog Category","Reconstruir Tabela Flat de Categoria"
"Rebuild Flat Catalog Product","Reconstruir Tabela Flat de Produtos"
"Cache Control","Controle de Cache"
"All Cache","Todo Cache"
"No change","Sem alteração"
"Disable","Desabilitado"
"Enable","Habilitado"
"Add Design Change","Adicionar Alteração de Design"
"Back","Voltar"
"Delete","Excluir"
"Are you sure?","Você tem certeza?"
"Save","Salvar"
"Edit Design Change","Editar Mudança de Design"
"New Store Design Change","Nova Mudança de Design da Loja"
"General Settings","Configurações Gerais"
"Store","Loja"
"-- Please Select --","-- Selecione uma opção --"
"Custom Design","Design Personalizado"
"Date From","Data De"
"Date To","Data Até"
"Design Change","Mudança de Design"
"General","Geral"
"Cancel","Cancelar"
"Delete %1 '%2'","Excluir %1 '%2'"
"Delete %1","Excluir %1"
"Block Information","Informação do Bloco"
"Backup Options","Opções de Backup"
"Create DB Backup","Criar Backup do Banco"
"Yes","Sim"
"No","Não"
"Delete Store","Apagar Loja"
"Delete Web Site","Apagar Website"
"Save Web Site","Salvar Website"
"Save Store","Salvar Loja"
"Save Store View","Salvar Visão de Loja"
"Delete Store View","Apagar Visão de Loja"
"Edit Web Site","Editar Website"
"New Web Site","Novo Website"
"Edit Store","Editar Loja"
"New Store","Nova Loja"
"Edit Store View","Editar Visão de Loja"
"New Store View","Nova Visão de Loja"
"Store Information","Informação da Loja"
"Web Site","Website"
"Name","Nome"
"Root Category","Categoria Principal"
"Default Store View","Visão de Loja Padrão"
"Store View Information","Informações da Visão de Loja"
"Code","Código"
"Status","Status"
"Disabled","Desabilitado"
"Enabled","Habilitado"
"Sort Order","Ordernação"
"Web Site Information","Informação do Website"
"Default Store","Loja Padrão"
"Set as Default","Definir como Padrão"
"Stores","Lojas"
"Create Website","Criar Website"
"Create Store","Criar Loja"
"Create Store View","Criar Visão de Loja"
"Home","Home"
"Reset","Reiniciar"
"Are you sure you want to do this?","Você tem que deseja fazer isso?"
"Add New Image","Adicionar Nova Imagem"
"Export block for grid %1 is not defined","Bloco de exportação para a grid %1 não foi definido"
"Reset Filter","Limpar Filtro"
"Search","Pesquisa"
"Any","Qualquer"
"All Countries","Todos os Países"
"From","De"
"To","Até"
"Date selector","Seletor de data"
"[ deleted ]","[ apagado ]"
"Select All","Selecionar Todos"
" [deleted]"," [apagado]"
"We couldn't find any records.","Não encontramos nenhum registro."
"Add New","Adicionar Novo"
"Invalid export type supplied for grid export block","Tipo de exportação fornecido inválido para bloco de exportação de grade"
"Export","Exportar"
"Please correct the column format and try again.","Por favor, corrija o formato da coluna e tente novamente."
"Please select items.","Por favor, selecione itens."
"Submit","Enviar"
"Unknown block type","Tipo de bloco desconhecido"
"Please correct the tab configuration and try again. Tab Id should be not empry","Please correct the tab configuration and try again. Tab Id should be not empry"
"Please correct the tab configuration and try again.","Corrija a configuração de tabulação e tente novamente."
"You have logged out.","Você saiu."
"Specified cache type(s) don't exist: %1","Tipo(s) de cache especificado não existe: %1"
"The image cache was cleaned.","O cache de imagem foi limpo."
"An error occurred while clearing the image cache.","Ocorreu um erro ao limpar o cache de imagem."
"The JavaScript/CSS cache has been cleaned.","O cache do JavaScript/CSS foi limpo."
"An error occurred while clearing the JavaScript/CSS cache.","Ocorreu um erro ao limpar o cache de JavaScript/CSS."
"The static files cache has been cleaned.","O cache de arquivos estáticos foi limpo."
"You flushed the cache storage.","Você liberou o armazenamento em cache."
"The Magento cache storage has been flushed.","O armazenamento de cache do Magento foi liberado."
"Cache Management","Gerenciamento de Cache"
"%1 cache type(s) disabled.","%1 tipos de cache estão desabilitados."
"An error occurred while disabling cache.","Ocorreu um erro ao desabilitar o cache."
"%1 cache type(s) enabled.","%1 tipos de cache habilitados."
"An error occurred while enabling cache.","Ocorreu um erro ao habilitar o cache."
"%1 cache type(s) refreshed.","%1 tipos de cache atualizados."
"An error occurred while refreshing cache.","Ocorreu um erro ao atualizar o cache."
"Dashboard","Painel de Controle"
"We updated lifetime statistic.","A estatística do ciclo de vida foi atualizada."
"We can't refresh lifetime statistics.","Não foi possível atualizar a estatística do ciclo de vida."
"invalid request","solicitação inválida"
"see error log for details","ver log de erro para detalhes"
"Service unavailable: %1","Serviço indisponível: %1"
"Error","Erro"
"Access Denied.","Acesso Negado."
"You need more permissions to do this.","Você precisa de permissões para fazer isso."
"No search modules were registered","Nenhum módulo de pesquisa registrado"
"Please make sure that all global admin search modules are installed and activated.","Por favor, certifique-se de que todos os módulos de pesquisa de escopo global estão instalados e ativados."
"You have entered an invalid password for current user.","Você inseriu uma senha inválida para o usuário atual."
"You saved the account.","Você salvou a conta."
"An error occurred while saving account.","Ocorreu um erro ao salvar a conta."
"You deleted the design change.","Você excluiu a mudança de design."
"You can't delete the design change.","Você não pode excluir a mudança de design."
"Store Design","Design da Loja"
"Edit Store Design Change","Editar alteração do Design da Loja"
"You saved the design change.","Você gravou a alteração de design."
"System","Sistema"
"Manage Stores","Gerenciar Lojas"
"The database was backed up.","Backup do banco de dados realizado."
"We can't create a backup right now. Please try again later.","Não foi possível criar um backup agora. Por favor, tente novamente mais tarde."
