"Banners","Banners"
"Add Banner","Adicionar Banner"
"Save Banner","Salvar Banner"
"Delete Banner","Excluir Banner"
"Save and Continue Edit","Salvar e Continuar a Editar"
"New Banner","Novo Banner"
"Content","Conteúdo"
"Default Content","Conteúdo Padrão"
"No Default Content","Nenhum Conteúdo Padrão"
"Banner Default Content for All Store Views","Banner Padrão para Todas as Visões de Loja"
"Store View Specific Content","Conteúdo Específico para Visão de Loja"
"Use Default","Usar Padrão"
"Related Promotions","Promoções Relacionadas"
"ID","ID"
"Rule","Regra"
"Start Date","Data de Início"
"End Date","Data de Término"
"Status","Status"
"Banner Properties","Propriedades do Banner"
"Banner Name","Nome do Banner"
"Active","Ativo"
"Inactive","Inativo"
"Applies To","Aplica-se a"
"Any Banner Type","Qualquer Tipo de Banner"
"Specified Banner Types","Tipos de Banner Específicos"
"Specify Types","Especificar tipos"
"Banner Information","Informação do Banner"
"Banner","Banner"
"Banner Type","Tipo de Banner"
"Visibility","Visibilidade"
"Delete","Excluir"
"Are you sure you want to delete these banners?","Tem certeza que deseja excluir estes banners?"
"Related Banners","Banners relacionados"
"Position","Posição"
"This rule no longer exists.","Esta regra não existe mais."
"This banner does not exist.","Esse banner não existe."
"You deleted the banner.","Você excluiu o banner."
"Something went wrong while deleting banner data. Please review the action log and try again.","Algo deu errado ao excluir os dados do banner. Por favor, analise o log de ações e tente novamente."
"We cannot find a banner to delete.","Não encontramos um banner para excluir."
"This banner no longer exists.","Esse banner não existe mais."
"Edit Banner","Editar Banner"
"Please select a banner(s).","Por favor, selecione o banner(s)."
"You deleted %1 record(s).","Você excluiu %1 registro (s)."
"Something went wrong while mass-deleting banners. Please review the action log and try again.","Algo deu errado na exclusão em massa dos banners. Por favor, revise o log de ação e tente novamente."
"You saved the banner.","Você salvou o banner."
"We cannot save the banner.","Não conseguimos salvar o banner."
"Please enter a name.","Por favor digite um nome."
"Please specify default content for at least one store view.","Por favor, especifique o conteúdo padrão para a exibição de pelo menos uma loja."
"-- None --","-- Nenhum --"
"Error","Erro"
"Related Cart Price Rules","Regras de preço de carrinho relacionados"
"Related Catalog Price Rules","Regras de preço de catálogo relacionado"
"Manage Banners","Gerenciar banners"
"Banner Rotator","Banner rotativo"
"Displays Specified or Promotion Banners","Displays Specified or Promotion Banners"
"Banners to Display","Banners to Display"
"Specified Banners","Specified Banners"
"Shopping Cart Promotions Related","Shopping Cart Promotions Related"
"Catalog Promotions Related","Catalog Promotions Related"
"Restrict by Banner Types","Restrict by Banner Types"
"Rotation Mode","Modo de rotação"
"Display all instead of rotating","Display all instead of rotating"
"One at the time, Random","One at the time, Random"
"One at the time, Series","One at the time, Series"
"One at the time, Shuffle","One at the time, Shuffle"
"Specify Banners","Specify Banners"
"Banner Block Template","Banner Block Template"
"Banner Inline Template","Banner Inline Template"
