"Country","País"
"Allowed Credit Card Types","Permitido tipos de Cartão de Crédito"
"Add Rule","Adicionar Regra"
"Month","Mês"
"Year","Ano"
"Stored Card","Cartão armazenado"
"Credit Card Type","Tipo do Cartão de Crédito"
"Credit Card Number","Número do Cartão de Crédito"
"Credit card successfully added","O Cartão de crédito foi adicionado com sucesso"
"Something went wrong while saving the card.","Algo deu errado ao salvar o cartão."
"Credit card does not exist","Cartão de crédito não existe"
"Delete Credit Card","Apagar o cartão de crédito"
"There was error deleting the credit card","Ocorreu um erro ao excluir o cartão de crédito"
"Credit card successfully deleted","Cartão de crédito foi excluído com sucesso"
"Edit Credit Card","Editar Cartão de Crédito"
"My Credit Cards","Meus Cartões de crédito"
"New Credit Card","Novo Cartão de Crédito"
"There was error during saving card data","Ocorreu um erro ao salvar os dados do cartão"
"We can't initialize checkout.","Não foi possível iniciar o checkout."
"Please agree to all the terms and conditions before placing the order.","Por favor concorde com todos os termos e condições antes de fazer o pedido."
"We can't place the order.","Não foi possível fazer o pedido."
"Incorrect payment method.","Método de pagamento incorreto."
"We can't initialize checkout review.","Não foi possível inicializar o checkout."
"We can't update shipping method.","Não é possível atualizar o método de envio."
"The processor declined your transaction, please re-enter your payment information","O processador invalidou sua transação, digite novamente suas informações de pagamento"
"Transaction declined by gateway: Check card details or try another card","Transação recusada pelo gateway: Verifique os detalhes do cartão ou tente outro cartão"
"Transaction declined: ","Transação Recusada: "
".","."
"The processor responded with an unknown error","O processador respondeu com um erro desconhecido"
"Credit card type is not allowed for your country.","Tipo de cartão de crédito não é permitido pelo seu país."
"Credit card type is not allowed for this payment method.","Tipo de cartão de crédito não é permitido para esta forma de pagamento."
"Selected payment type is not allowed for billing country.","A forma de pagamento selecionada não é aceita para o país indicado na cobrança."
"Incomplete payment information.","Informações de pagamento incompletas."
"Please try again later","Por favor, tente novamente mais tarde"
"Can not find original authorization transaction for partial capture","Não é possível encontrar a transação original de autorização para captação parcial"
"There was an error capturing the transaction: %1.","Houve um erro de captura da transação: %1."
"This refund is for a partial amount but the Transaction has not settled.","Esta restituição é para uma quantidade parcial, mas a Transação não se estabeleceu."
"Please wait 24 hours before trying to issue a partial refund.","Por favor, espere 24 horas antes de tentar emitir um reembolso parcial."
"There was an error refunding the transaction: %1.","Houve um erro ao reembolso da transação: %1."
"Some transactions are already settled or voided and cannot be voided.","Algumas transações já estão liquidadas ou canceladas e não podem ser anuladas."
"Voided capture.","Captura anulada."
"There was an error voiding the transaction: %1.","Houve um erro ao anular a transação: %1."
"Invoice","Fatura"
"Shipment","Envio"
"Authorize","Autorizar"
"Authorize and Capture","Autorizar e Capturar"
"--Please Select--","--Por Favor Selecione--"
"Invalid Customer ID provided","ID de Cliente Fornecido Inválido"
"some error","algum erro"
"a,b,c","a, b, c"
"Something went wrong while processing.","Erro no processamento."
"error","erro"
"exception","exceção"
"Payment Information","Informação de Pagamento"
"Add new card","Adicionar novo cartão"
"Please Select","Por Favor Selecione"
"Expiration Date","Data de Validade"
"Card Verification Number","Código de Verificação do Cartão"
"Save this card for future use","Salvar este cartão para uso futuro"
"or","ou"
"Please confirm that you want to delete this credit card","Por favor, confirme que você deseja excluir este cartão de crédito"
"Cardholder Name","Nome do Titular do Cartão"
"Delete","Excluir"
"Back","Voltar"
"* Required Fields","* Campos Obrigatórios"
"Credit Card","Cartão de Crédito"
"CVV","CVV"
"Card Verification Number Visual Reference","Referência Visual do Número de Verificação do Cartão"
"What is this?","O que é isto?"
"Make Default","Tornar Padrão"
"Billing Address","Endereço de Cobrança"
"First Name","Nome"
"Last Name","Sobrenome"
"Company","Empresa"
"Address","Endereço"
"City","Cidade"
"State/Province","Estado/Província"
"Please select region, state or province","Por favor selecione região, estado ou província"
"Zip/Postal Code","CEP"
"Submit","Enviar"
"Add Credit Card","Adicionar Cartão de Crédito"
"Type","Tipo"
"Card Number","Número do Cartão"
"Is Default","É o Padrão"
"Actions","Ações"
"Yes","Sim"
"No","Não"
"Edit","Editar"
"Braintree","Braintree"
"&nbsp;","&nbsp;"
"Enable this Solution","Enable this Solution"
"Enable PayPal through Braintree","Enable PayPal through Braintree"
"Basic Braintree Settings","Basic Braintree Settings"
"Title","Título"
"Environment","Environment"
"Payment Action","Payment Action"
"Merchant Account ID","Merchant Account ID"
"Merchant ID","Merchant ID"
"Public Key","Public Key"
"Private Key","Private Key"
"Advanced Braintree Settings","Advanced Braintree Settings"
"Debug","Depurar/Debug"
"Capture action","Capture action"
"New Order Status","New Order Status"
"Use Vault","Use Vault"
"Allow Duplicate Cards","Allow Duplicate Cards"
"CVV Verification","Verificação de CVV"
"Credit Card Types","Credit Card Types"
"Enable Credit Card auto-detection on Storefront","Enable Credit Card auto-detection on Storefront"
"Advanced Fraud Protection","Advanced Fraud Protection"
"Your Kount ID","Your Kount ID"
"Use Cache","Use Cache"
"Sort Order","Ordernação"
"Country Specific Settings","Country Specific Settings"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Country Specific Credit Card Types","Country Specific Credit Card Types"
"PayPal through Braintree","PayPal through Braintree"
"Override Merchant Name","Override Merchant Name"
"Display on Shopping Cart","Display on Shopping Cart"
"Require Customer's Billing Address","Require Customer's Billing Address"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","Allow to Edit Shipping Address Entered During Checkout on PayPal Side"
"3D Secure Verification Settings","3D Secure Verification Settings"
"3D Secure Verification","3D Secure Verification"
"Edit My Credit Cards","Edit My Credit Cards"
