"Percent Discount","Porcentagem de Desconto"
"-- Select --","-- Selecionar --"
"Dynamic","Dinâmico"
"Fixed","Fixo"
"Create New Option","Criar Nova Opção"
"Bundle Items","Itens do Pacote"
"Add Products to Option","Adicionar Produtos a Opções"
"Close","Fechar"
"Delete Option","Deletar Opção"
"What are you looking for?","O que você está procurando?"
"ID","ID"
"Product","Produto"
"SKU","SKU"
"Price","Preço"
"Delete","Excluir"
"Use Default Value","Usar o Valor Padrão"
"There is no defined renderer for ""%1"" option type.","Não há nenhum renderizador definido para o tipo de opção ""%1""."
"Only implemented for bundle product","Apenas implementado para pacote de produtos"
"Product with specified sku: ""%1"" is not a bundle product","Produto com sku especificado: ""%1"" não é um pacote de produtos"
"Bundle product could not contain another composite product","Pacote produto não pode conter outro produto composto"
"Id field of product link is required","Campo Id do produto é obrigatório"
"Can not find product link with id ""%1""","Não é possível encontrar o link do produto id ""%1"""
"Could not save child: ""%1""","Não foi possível salvar o filho: ""%1"""
"Product with specified sku: ""%1"" does not contain option: ""%2""","Produto com o sku: ""%1"" não contém a opção: ""%2"""
"Child with specified sku: ""%1"" already assigned to product: ""%2""","Filho com sku especificado: ""%1"" já atribuído ao produto: ""%2"""
"Product with specified sku: %1 is not a bundle product","Produto com sku especificado: %1 não é um produto do pacote"
"Requested bundle option product doesn't exist","Opção do pacote solicitada de produtos não exite"
"Requested option doesn't exist","A opção solicitada não existe"
"Cannot delete option with id %1","Não é possível excluir a opção com id %1"
"Could not save option","Não foi possível salvar a opção"
"As Low as","Menor que"
"Price Range","Faixa de preço"
"Please specify product option(s).","Por favor, especifique as opções do produto."
"The options you selected are not available.","As opções selecionadas não estão disponíveis."
"The required options you selected are not available.","As opções que você selecionou não estão disponíveis."
"Please select all required options.","Por favor, selecione todas as opções solicitadas."
"We can't add this item to your shopping cart right now.","Nós não podemos adicionar este item ao seu carrinho de compras agora."
"N/A","Não Disponível"
"Percent","Por cento"
"None","Nenhum"
"Quantity:","Quantidade:"
"Choose a selection...","Escolha uma seleção..."
"Ship Bundle Items","Envio dos ítens do pacote de produtos"
"Separately","Separadamente"
"Together","Juntos"
"Option Title","Opção de título"
"Store View Title","Título da visão da loja"
"Input Type","Tipo de input"
"Required","Obrigatório"
"Position","Posição"
"There are no products in this option.","Não há nenhum produto nesta opção."
"New Option","Nova Opção"
"Default","Padrão"
"Name","Nome"
"Price Type","Tipo de preço"
"Default Quantity","Quantidade padrão"
"User Defined","Definidos pelo usuário"
"Ordered","Ordenado"
"Invoiced","Faturado"
"Shipped","Enviado"
"Refunded","Reembolsado"
"Canceled","Cancelado"
"As low as","Tão baixo quanto"
"Regular Price","Preço normal"
"From","De"
"To","Até"
"Buy %1 with %2 discount each","Comprar %1 com %2 de desconto"
"Go back to product details","Voltar para detalhes do produto"
"Customize and Add to Cart","Personalizar e adicionar ao carrinho"
"* Required Fields","* Campos Obrigatórios"
"Your Customization","Sua personalização"
"Availability","Disponibilidade"
"In stock","Em estoque"
"Out of stock","Fora de estoque"
"Summary","Resumo"
"%1 x %2","%1 x %2"
"Availability:","Disponibilidade:"
"Quantity","Quantidade"
"Customize %1","Personalizar %1"
"No options of this product are available.","Não há opções deste produto estão disponíveis."
"Gift Message","Mensagem do presente"
"From:","De:"
"To:","Para:"
"Message:","Mensagem:"
"Product Name","Nome do produto"
"Subtotal","Subtotal"
"Discount Amount","Quantidade do Desconto"
"Row Total","Linha Total"
"Qty Invoiced","Quantidade faturada"
"Qty Shipped","Quantidade enviada"
"Add Products to New Option","Add Products to New Option"
"Add Products to Option ""%1""","Add Products to Option ""%1"""
"Add Selected Products","Add Selected Products"
