"New Permission","Nova Permissão"
"You already have a permission with this scope.","Você já tem uma permissão com este escopo."
"(Allow)","(Permitir)"
"(Deny)","(Negar)"
"Category Permissions","Permissões da Categoria"
"Browsing Category","Categoria de Navegação"
"Display Product Prices","Exibir Preços dos Produtos"
"Add to Cart","Adicionar ao Carrinho"
"Yes, for Everyone","Sim, para Todos"
"Yes, for Specified Customer Groups","Sim, para o Grupo de Clientes Especificado"
"No","Não"
"No, Redirect to Landing Page","Não, Redirecionar para Landing Page"
"Permission with the same scope","Permissão com o mesmo escopo"
"You may need more permissions to access this category.","Você precisa de mais permissões para acessar esta categoria."
"You may need more permissions to access this product.","Você precisa de mais permissões para acessar este produto."
"You cannot add ""%1"" to the cart.","Não foi possível adicionar ""%1"" no carrinho."
"Permissions do not depend on store views.","As permissões não dependem de visão de loja."
"Website","Website"
"Customer Group","Grupo de clientes"
"Action","Ação"
"-- Please Select --","-- Selecione uma opção --"
"All Websites","Todos os sites"
"All Customer Groups","Todos Grupos de Clientes"
"Allow","Permitir"
"Deny","Negar"
"Use parent","Use mãe"
"Enable","Habilitado"
"
                        <strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.
                    ","
                        <strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.
                    "
"Allow Browsing Category","Allow Browsing Category"
"Customer Groups","Grupos de Cliente"
"Allow Adding to Cart","Allow Adding to Cart"
"Landing Page","Landing Page"
"Disallow Catalog Search By","Disallow Catalog Search By"
"Catalog Category Permissions","Catalog Category Permissions"
"Indexed permissions for categories","Indexed permissions for categories"
"Catalog Product Permissions","Catalog Product Permissions"
"Indexed permissions for products","Indexed permissions for products"
