"Catalog Price Rule","Regra de Preço do Catálogo"
"Add New Rule","Adicionar Nova Regra"
"Apply Rules","Aplicar Regras"
"Save and Apply","Salvar e Aplicar"
"Save and Continue Edit","Salvar e Continuar a Editar"
"Edit Rule '%1'","Editar Regra '%1'"
"New Rule","Nova Regra"
"Rule Information","Informações da Regra"
"Actions","Ações"
"Pricing Structure Rules","Regras para estrutura de preço"
"Apply","Aplicar"
"Apply as percentage of original","Aplicado como porcentagem do original"
"Apply as fixed amount","Aplicado como montante fixo"
"Adjust final price to this percentage","Ajustar o preço final para esta percentagem"
"Adjust final price to discount value","Ajustar o preço final para o valor de desconto"
"Discount Amount","Quantidade do Desconto"
"Subproduct discounts","Descontos de subproduto"
"No","Não"
"Yes","Sim"
"Discard subsequent rules","Descartar as regras subseqüentes"
"Conditions","Condições"
"Conditions (don't add conditions if rule is applied to all products)","Condições (não adicionar condições se a regra é aplicada a todos os produtos)"
"General Information","Informações gerais"
"Rule Name","Nome da regra"
"Description","Descrição"
"Status","Status"
"Active","Ativo"
"Inactive","Inativo"
"Websites","Websites"
"Customer Groups","Grupos de Cliente"
"From","De"
"To","Até"
"Priority","Prioridade"
"ID","ID"
"Type","Tipo"
"Attribute Set","Conjunto de Atributos"
"SKU","SKU"
"Product","Produto"
"Promotions","Promoções"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Regras de atualização não são aplicadas. Por favor, clique em ""Aplicar Regras"" para atualizar o seu catálogo."
"We can't apply the rules.","Não é possível aplicar as regras."
"You deleted the rule.","Você excluiu a regra."
"We can't delete this rule right now. Please review the log and try again.","Não é possível excluir a regra agora. Por favor, revise o log e tente novamente."
"We can't find a rule to delete.","Não é possível encontrar uma regra para excluir."
"This rule no longer exists.","Esta regra não existe mais."
"New Catalog Price Rule","Nova Regra de Preço de Catálogo"
"Edit Rule","Editar Regra"
"Catalog","Catálogo"
"Wrong rule specified.","Regra especificada incorreta."
"You saved the rule.","Você gravou a regra."
"Something went wrong while saving the rule data. Please review the error log.","Problema ao tentar salvar os dados da regra. Por favor, revise o log de erros."
"Promo","Promoção"
"Could not rebuild index for empty products array","Não poderia reconstruir o índice da matriz de produtos vazio"
"We can't rebuild the index for an undefined product.","Não é possível recriar o índice para um produto indefinido."
"Percentage discount should be between 0 and 100.","Percentual de desconto deve ser entre 0 e 100."
"Discount value should be 0 or greater.","Valor de desconto deve ser maior do que 0."
"Unknown action.","Ação desconhecida."
"Update the Product","Atualizar produto"
"Rule price","Regra de Preço"
"To Fixed Value","Para Valor Fixo"
"To Percentage","Para Percentagem"
"By Fixed value","Por Valor Fixo"
"By Percentage","Por Percentagem"
"Update product's %1 %2: %3","Atualizar produto(s) %1 %2: %3"
"Conditions Combination","Combinação de Condições"
"Product Attribute","Atributo do Produto"
"Updated rules applied.","Regras atualizadas aplicadas."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","Você desabilitou %1 Regras de Preço do Catálogo com base no atributo ""%2""."
"Catalog Rule Product","Catalog Rule Product"
"Indexed rule/product association","Indexed rule/product association"
"Catalog Product Rule","Catalog Product Rule"
"Indexed product/rule association","Indexed product/rule association"
"Rule","Regra"
"Start","Ínicio"
"End","End"
"Web Site","Website"
