"Home","Home"
"Go to Home Page","Ir para a página inicial"
"Catalog Advanced Search","Busca Avançada do Catálogo"
"All","Todos"
"Yes","Sim"
"No","Não"
"Results","Resultados"
"Grid","Grade"
"List","Lista"
"Search Weight","Peso da Pesquisa"
"Relevance","Relevância"
"Search results for: '%1'","Resultados da busca por: '%1'"
"Minimum Search query length is %1","Tamanho mínimo para pesquisa é %1"
"Please specify at least one search term.","Por favor, especifique pelo menos um termo de pesquisa."
"%1 and greater","%1 e maior"
"up to %1","até %1"
"Category","Categoria"
"%1 and above","%1 e acima"
"%1 - %2","%1 - %2"
"Bucket do not exists","Bucket não existe"
"Product","Produto"
"Search Settings","Configurações de Pesquisa"
"Search","Pesquisa"
"Advanced Search","Pesquisa Avançada"
"<strong>%1 item</strong> were found using the following search criteria","<strong>item de%1</strong> foram encontrados utilizando os seguintes critérios de pesquisa"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 itens</strong> foram encontrados utilizando os seguintes critérios de pesquisa"
"We can't find any items matching these search criteria.","Não é possível encontrar itens correspondentes a estes critérios de pesquisa."
"Modify your search","Modificar a sua pesquisa"
"name","nome"
"Don't see what you're looking for?","Não achou o que você está procurando?"
"Your search returned no results.","A sua pesquisa não retornou resultados."
"Popular Search Terms","Pesquisas Populares"
"Catalog Search","Pesquisar Catálogo"
"Minimal Query Length","Minimal Query Length"
"Maximum Query Length","Maximum Query Length"
"Rebuild Catalog product fulltext search index","Reconstruir o índice de pesquisa para texto do produto"
