"Conditions Combination","Combinação de Condições"
"Product Attribute","Atributo do Produto"
"SKU","SKU"
"Please choose a condition to add.","Por favor, escolha uma condição para adicionar."
"Add to Cart","Adicionar ao Carrinho"
"In stock","Em estoque"
"Out of stock","Fora de estoque"
"Add to Wish List","Adicionar à lista de desejos"
"Add to Compare","Adicionar para Comparar"
"Catalog Products List","Catalog Products List"
"List of Products","Lista de produtos"
"Title","Título"
"Display Page Control","Exibir controle de página"
"Number of Products per Page","Número de produtos por página"
"Number of Products to Display","Número de produtos para exibir"
"Template","Template"
"Products Grid Template","Products Grid Template"
"Cache Lifetime (Seconds)","Cache Lifetime (Seconds)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Conditions","Condições"
