"This block no longer exists.","Este bloco não existe mais."
"You removed this %1 from the update and saved it in a new one.","Removeu este %1 da atualização e gravou-o em uma nova."
"You removed this %1 from the update and saved it in the other one.","You removed this %1 from the update and saved it in the other one."
"You removed this %1 from the update.","You removed this %1 from the update."
"Required parameters are missing.","Required parameters are missing."
"You saved this %1 update.","You saved this %1 update."
"Something went wrong while saving the %1.","Something went wrong while saving the %1."
"Something went wrong","Something went wrong"
"Scheduled Changes","Scheduled Changes"
"Start Date","Data de Início"
"Start Time","Hora de Início"
"Name","Nome"
"Description","Descrição"
"Action","Ação"
"End Date","Data de Término"
"End Time","Hora de Fim"
"Update Information","Atualizar informações"
"Remove CMS block from Update","Remover o bloco CMS da atualização"
"Save as a new update","Salvar como uma nova atualização"
"Update Name","Atualizar Nome"
"Start date","Data de início"
"End date","Data de término"
"General Information","Informações gerais"
"Enable Block","Ativar Bloco"
"Block Title","Título do Bloco"
"Identifier","Identificador"
"Store View","Visão de Loja"
"Move to another scheduled change","Move to another scheduled change"
"Delete the scheduled change","Delete the scheduled change"
"Deleting the change will remove the block from this update and all scheduled changes will be lost.","Deleting the change will remove the block from this update and all scheduled changes will be lost."
"20","20"
"30","30"
"50","50"
"100","100"
"200","200"
"Remove CMS page from Update","Remover página CMS da Atualização"
"Enable Page","Ativar Página"
"Page Title","Título da Página"
"Content","Conteúdo"
"Content Heading","Cabeçalho do Conteúdo"
"Search Engine Optimisation","Search Engine Optimisation"
"URL Key","Chave URL"
"Meta Keywords","Meta Palavras-chave"
"Meta Description","Meta Descrição"
"Page in Websites","Page in Websites"
"Design","Design"
"Layout","Layout"
"Layout Update XML","Atualização do Layout XML"
"Custom Design Update","Atualização de Design personalizado"
"From","De"
"To","To"
"New Theme","New Theme"
"-- Please Select --","-- Please Select --"
"New Layout","New Layout"
"Deleting the change will remove the page from this update and all scheduled changes will be lost.","Deleting the change will remove the page from this update and all scheduled changes will be lost."
"CMS Pages","CMS Pages"
"CMS Blocks","CMS Blocks"
"ID","ID"
"Title","Title"
"Status","Status"
