"Default Config","Configuração Padrão"
"Save Config","Gravar Configuração"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[VISÃO DE LOJA]"
"Use Default","Usar Padrão"
"Use Website","Usar Website"
"Add","Adicionar"
"Delete File","Excluir Arquivo"
"Search String","String de busca"
"Design Theme","Design do Tema"
"Add \Exception","Adicionar \Exceção"
"-- No Theme --","-- Nenhum Tema --"
"Enable","Habilitado"
"Disable","Desabilitado"
"Configuration","Configuração"
"System","Sistema"
"You saved the configuration.","Você salvou a configuração."
"Something went wrong while saving this configuration:","Problema ao gravar esta configuração:"
"Page not found.","Página não encontrada."
"Please specify the admin custom URL.","Por favor, especifique uma URL personalizada para de admin."
"Invalid %1. %2","%1 inválido. %2"
"Value must be a URL or one of placeholders: %1","Valor deve ser um URL ou um dos espaços reservados: %1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","Especifique um URL ou caminho que começa com: %1 e termina com ""/""."
"%1 An empty value is allowed as well.","%1 um valor vazio é permitido também."
"Specify a fully qualified URL.","Especifique uma URL completa e válida."
"Selected allowed currency ""%1"" is not available in installed currencies.","Moeda permitida selecionada ""%1"" não está disponível em moedas instaladas."
"Default display currency ""%1"" is not available in allowed currencies.","Moeda de exibição padrão ""%1"" não está disponível em moedas permitidas."
"Sorry, we haven't installed the base currency you selected.","Desculpe, a moeda base que você selecionou não está instalada."
"We can't save the Cron expression.","Não podemos salvar a expressão ""Cron""."
"Sorry, we haven't installed the default display currency you selected.","Desculpe, a moeda padrão selecionada não foi instalada."
"Sorry, the default display currency you selected is not available in allowed currencies.","Desculpa, a moeda de exibição padrão selecionado não está disponível em moedas permitidas."
"Please correct the email address: ""%1"".","Por favor, corrija o endereço de e-mail: ""%1""."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","O nome do remetente ""%1"" não é válido. Por favor, use apenas caracteres visíveis e espaços."
"Maximum sender name length is 255. Please correct your settings.","Comprimento do nome do remetente máximo é 255. Por favor, corrija suas configurações."
"The file you're uploading exceeds the server size limit of %1 kilobytes.","O arquivo que você está enviando excede o limite de tamanho do servidor de %1 kb."
"The base directory to upload file is not specified.","O diretório base para carregar o arquivo não foi especificado."
"The specified image adapter cannot be used because of: %1","The specified image adapter cannot be used because of: %1"
"Default scope","Escopo Padrão"
"Base currency","Moeda base"
"Display default currency","Exibir a moeda padrão"
"website(%1) scope","escopo website (%1)"
"store(%1) scope","escopo loja (%1)"
"Currency ""%1"" is used as %2 in %3.","Moeda ""%1"" é usada como %2 em %3."
"Please correct the timezone.","Por favor, corrija o fuso horário."
"The file ""%1"" does not exist","The file ""%1"" does not exist"
"Always (during development)","Sempre (durante o desenvolvimento)"
"Only Once (version upgrade)","Apenas uma vez (atualização de versão)"
"Never (production)","Nunca (produção)"
"Bcc","BCC"
"Separate Email","Separar o E-mail"
"%1 (Default)","%1 (padrão)"
"title","título"
"No","Não"
"Optional","Opcional"
"Required","Obrigatório"
"Website","Website"
"Store","Loja"
"Store View","Visão de Loja"
"HTTP (unsecure)","HTTP (não segura)"
"HTTPS (SSL)","HTTPS (SSL)"
"Yes (302 Found)","Sim (302 encontrados)"
"Yes (301 Moved Permanently)","Sim (301 movido permanentemente)"
"Yes","Sim"
"Specified","Especificado"
"Config form fieldset clone model required to be able to clone fields","Modelo clone de conjunto de campo de formulation de configuração precisa ser capaz de clonar campos"
"Invalid XML in file %1:
%2","XML inválido no arquivo %1:%2"
".","."
"some_label","rótulo (some_label)"
"some_comment","comentário"
"some prefix","um prefixo"
"element label","rótulo"
"element hint","dica do elemento"
"element comment","comentário do elemento"
"element tooltip","ferramenta de dica do elemento"
"test","teste"
"test2","teste2"
"Add after","Adicionar depois"
"Delete","Excluir"
"Current Configuration Scope:","Configuração de Escopo Atual:"
"Stores","Lojas"
"Group Label","Rótulo de grupo"
"Some Label","Um rótulo"
"Tab Label","Etiqueta de guia"
"Field 2","Campo 2"
"Field 3","Campo 3"
"Field 3.1","Campo 3.1"
"Field 3.1.1","Campo 3.1.1"
"Field 4","campo 4"
