"Add configurable attributes to the current Attribute Set (""%1"")","Add configurable attributes to the current Attribute Set (""%1"")"
"Add configurable attributes to the new Attribute Set based on current","Add configurable attributes to the new Attribute Set based on current"
"New attribute set name","New attribute set name"
"Add configurable attributes to the existing Attribute Set","Add configurable attributes to the existing Attribute Set"
"Choose existing Attribute Set","Choose existing Attribute Set"
"Configurations","Configurações"
"Attribute Values","Valores dos Atributos"
"Bulk Images &amp; Price","Preço &amp; imagens em massa"
"Create New Attribute","Criar Novo Atributo"
"Select Attributes","Selecione Atributos"
"Summary","Resumo"
"Choose an Option...","Escolha uma Opção..."
"This attribute is used in configurable products.","Esse atributo é usado em produtos configuráveis."
"Product has been already attached","Produto já anexado"
"Product with specified sku: %1 is not a configurable product","Produto com sku especificado: %1 não é um produto configurável"
"Requested option doesn't exist","A opção solicitada não existe"
"Requested option doesn't exist: %1","Opção solicitada não existe: %1"
"Cannot delete variations from product: %1","Não é possível excluir as variações do produto: %1"
"Cannot delete option with id: %1","Não é possível excluir a opção com id: %1"
"Option with id ""%1"" not found","Opção com id ""%1"" não foi encontrada"
"Could not update option with id ""%1""","Não foi possível atualizar a opção com id ""%1"""
"Product already has this option","Produto já tem essa opção"
"Something went wrong while saving option.","Algo deu errado ao salvar a opção."
"Only implemented for configurable product: %1","Somente implementada para produto configurável: %1"
"Option attribute ID is not specified.","Opção de atributo ID não especificado."
"Option label is not specified.","Rótulo de opção não especificado."
"Option values are not specified.","Valores de opção não especificados."
"Value index is not specified for an option.","Índice de valor não especificado para uma opção."
"The configurable product does not have any variation attribute.","O produto configurável não tem qualquer atributo de variação."
"Product with id ""%1"" does not exist.","Produto com o id ""%1"" não existe."
"Product with id ""%1"" does not contain required attribute ""%2"".","Produto com a id ""%1"" não contém o atributo solicitado ""%2""."
"Products ""%1"" and %2 have the same set of attribute values.","Produtos ""%1"" e %2 têm o mesmo conjunto de valores de atributo."
"You can't add the item to shopping cart.","Você não pode adicionar o item ao carrinho de compras."
"You need to choose options for your item.","Você precisa escolher opções para seu item."
"Some product variations fields are not valid.","Algumas variações de campos de produto não são válidas."
"Configuration must have specified attributes","Configuração deve especificar os atributos"
"Configurable product ""%1"" do not have sub-products","Configurable product ""%1"" do not have sub-products"
"This group contains attributes used in configurable products. Please move these attributes to another group and try again.","Este grupo contém atributos usados em produtos configuráveis. Por favor, mova esses atributos para outro grupo e tente novamente."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","This attribute is used in configurable products. You cannot remove it from the attribute set."
"Associated Products","Produtos Associados"
"Step 2: Attribute Values","Passo 2: Valores de atributo"
