"Page not found.","Página não encontrada."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Obrigado por nos contatar com seus comentários e perguntas. Em breve responderemos."
"We can't process your request right now. Sorry, that's all we know.","Nós não podemos processar sua solicitação no momento. Desculpe, isso é tudo o que sabemos."
"* Required Fields","* Campos Obrigatórios"
"Write Us","Escreva-nos"
"Jot us a note and we’ll get back to you as quickly as possible.","Deixe-nos uma mensagem e nós iremos retornar para você o mais rápido possível."
"Name","Nome"
"Email","E-mail"
"Phone Number","Número do Telefone"
"What’s on your mind?","Em que você está pensando?"
"Submit","Enviar"
"Name: %name","Nome: %name"
"Email: %email","E-mail: %email"
"Phone Number: %telephone","Número de telefone: %telephone"
"Comment: %comment","Comentário: %comment"
"Contacts","Contatos"
"Contact Us","Fale conosco"
"Enable Contact Us","Habilitar 'Fale conosco'"
"Email Options","Opções de e-mail"
"Send Emails To","Enviar E-mails para"
"Email Sender","Remetente do e-mail"
"Email Template","Template de E-mail"
"Email template chosen based on theme fallback when ""Default"" option is selected.","O modelo de e-mail escolhido baseado no tema ""fallback"" quando a opção ""Padrão"" é selecionada."
