"Sign Out","Sair"
"Sign In","Entrar"
"You subscribe to our newsletter.","Você se inscreveu em nossa newsletter."
"You don't subscribe to our newsletter.","Você não se inscreveu em nossa newsletter."
"You have not set a default shipping address.","Você não definiu um endereço de entrega padrão."
"You have not set a default billing address.","Você não definiu um endereço de faturamento padrão."
"Address Book","Catálogo de Endereços"
"Edit Address","Editar o Endereço"
"Add New Address","Adicionar Novo Endereço"
"region","região"
"Create Order","Criar Pedido"
"Save Customer","Salvar Cliente"
"Delete Customer","Excluir Cliente"
"Reset Password","Redefinir Senha"
"Are you sure you want to revoke the customer's tokens?","Tem certeza que deseja revogar os tokens do cliente?"
"Force Sign-In","Forçar a entrada"
"New Customer","Novo Cliente"
"Save and Continue Edit","Salvar e Continuar a Editar"
"Back","Voltar"
"Please select","Selecione por favor"
"Reset","Reiniciar"
"ID","ID"
"Product","Produto"
"SKU","SKU"
"Quantity","Quantidade"
"Price","Preço"
"Total","Total"
"Action","Ação"
"Configure","Configurar"
"Delete","Excluir"
"Shopping Cart from %1","Carrinho de Compras de %1"
"Newsletter","Newsletter"
"Newsletter Information","Informações da Newsletter"
"Subscribed to Newsletter","Inscrito na Newsletter"
"Last Date Subscribed","Data da Última Inscrição"
"Last Date Unsubscribed","Data do Último Descadastramento"
"No Newsletter Found","Nenhuma newsletter foi encontrada"
"Start date","Data de início"
"End Date","Data de Término"
"Receive Date","Data de recebimento"
"Subject","Assunto"
"Status","Status"
"Sent","Enviado"
"Cancel","Cancelar"
"Not Sent","Não Enviado"
"Sending","Enviando"
"Paused","Pausado"
"View","Visualizar"
"Unknown","Desconhecido"
"Order","Pedido"
"Purchased","Comprado"
"Bill-to Name","Nome de Cobrança"
"Ship-to Name","Nome de Entrega"
"Order Total","Total do Pedido"
"Purchase Point","Ponto de compra"
"Customer View","Visão do cliente"
"There are no items in customer's shopping cart.","Não há itens no carrinho de compras."
"Qty","Qtd"
"Confirmed","Confirmado"
"Confirmation Required","Confirmação Obrigatória"
"Confirmation Not Required","Confirmação não Obrigatória"
"Indeterminate","Indeterminado"
"The customer does not have default billing address.","O cliente não tem um endereço de cobrança padrão."
"Offline","Off-line"
"Online","On-line"
"Never","Nunca"
"Deleted Stores","Lojas excluídas"
"Add Locale","Adicionar Local"
"Add Date","Adicionar Data"
"Days in Wish List","Dias na Lista de Desejos"
"No","Não"
"Yes","Sim"
"Delete File","Excluir Arquivo"
"Download","Fazer Download"
"Delete Image","Excluir imagem"
"View Full Size","Ver Tamanho Completo"
"All countries","Todos os Países"
"Customer Groups","Grupos de Cliente"
"Add New Customer Group","Adicionar novo grupo de cliente"
"Save Customer Group","Gravar Grupo de Cliente"
"Delete Customer Group","Excluir Grupo de Cliente"
"New Customer Group","Novo Grupo de Cliente"
"Edit Customer Group ""%1""","Editar Grupo de Cliente ""%1"""
"Group Information","Informações do Grupo"
"Group Name","Nome do grupo"
