"Change Encryption Key","Alterar chave de criptografia"
"Encryption Key","Chave de criptografia"
"New Encryption Key","Nova chave de criptografia"
"The encryption key is used to protect passwords and other sensitive data.","A chave de criptografia é utilizada para proteger senhas e outros dados sensíveis."
"Auto-generate a Key","Auto-gerar uma chave"
"No","Não"
"Yes","Sim"
"The generated key will be displayed after changing.","A chave gerada será exibida após a alteração."
"New Key","Nova chave"
"Deployment configuration file is not writable.","Deployment configuration file is not writable."
"Please enter an encryption key.","Por favor digite uma chave de criptografia."
"The encryption key has been changed.","A chave de criptografia foi alterada."
"This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!","This is your new encryption key: <span style=""font-family:monospace;"">%1</span>. Be sure to write it down and take good care of it!"
