"Europe First Priority","Primeira prioridade Europa"
"1 Day Freight","Frete de 1 dia"
"2 Day Freight","Frete de 2 dias"
"2 Day","2 Dias"
"2 Day AM","2 dia AM"
"3 Day Freight","Frete de 3 dias"
"Express Saver","Express Saver"
"Ground","Terreno"
"First Overnight","Primeiro dia para a noite"
"Home Delivery","Home Delivery"
"International Economy","Economia Internacional"
"Intl Economy Freight","Intl Economy Freight"
"International First","International First"
"International Ground","International Ground"
"International Priority","Prioridade Internacional"
"Intl Priority Freight","Intl Priority Freight"
"Priority Overnight","Priority Overnight"
"Smart Post","Smart Post"
"Standard Overnight","Standard Overnight"
"Freight","Frete"
"National Freight","Frete Nacional"
"Regular Pickup","Coleta regular"
"Request Courier","Request Courier"
"Drop Box","Drop Box"
"Business Service Center","Business Service Center"
"Station","Station"
"FedEx Envelope","Envelope FedEx"
"FedEx Pak","FedEx Pak"
"FedEx Box","FedEx Box"
"FedEx Tube","FedEx Tube"
"FedEx 10kg Box","Caixa de 10kg FedEx"
"FedEx 25kg Box","Caixa de 25kg FedEx"
"Your Packaging","Seu pacote"
"Not Required","Não é necessário"
"Adult","Adulto"
"Direct","Direto"
"Indirect","Indireto"
"Pounds","Libras"
"Kilograms","Quilogramas"
"For some reason we can't retrieve tracking info right now.","Por alguma razão não é possível recuperar informação de rastreamento agora."
"status","status"
"Empty response","Nenhuma resposta"
"None","Nenhum"
"FedEx","FedEx"
"Enabled for Checkout","Enabled for Checkout"
"Title","Título"
"Account ID","ID da conta"
"Please make sure to use only digits here. No dashes are allowed.","Please make sure to use only digits here. No dashes are allowed."
"Meter Number","Número do medidor"
"Key","Chave"
"Password","Senha"
"Sandbox Mode","Sandbox Mode"
"Web-Services URL (Production)","Web-Services URL (Production)"
"Web-Services URL (Sandbox)","Web-Services URL (Sandbox)"
"Packages Request Type","Packages Request Type"
"Packaging","Packaging"
"Dropoff","Dropoff"
"Weight Unit","Weight Unit"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)"
"Calculate Handling Fee","Calculate Handling Fee"
"Handling Applied","Handling Applied"
"Handling Fee","Handling Fee"
"Residential Delivery","Residential Delivery"
"Allowed Methods","Allowed Methods"
"Hub ID","Hub ID"
"The field is applicable if the Smart Post method is selected.","The field is applicable if the Smart Post method is selected."
"Free Method","Free Method"
"Free Shipping Amount Threshold","Free Shipping Amount Threshold"
"Displayed Error Message","Displayed Error Message"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Debug","Depurar/Debug"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Sort Order","Ordernação"
