"Gift Messages is not applicable for empty cart","Gift Messages is not applicable for empty cart"
"Gift Messages is not applicable for virtual products","Gift Messages is not applicable for virtual products"
"Gift Message is not available","Gift Message is not available"
"Could not add gift message to shopping cart","Could not add gift message to shopping cart"
"There is no item with provided id in the cart","There is no item with provided id in the cart"
"There is no product with provided  itemId: %1 in the cart","There is no product with provided  itemId: %1 in the cart"
"There is no item with provided id in the order","There is no item with provided id in the order"
"There is no item with provided id in the order or gift message isn't allowed","There is no item with provided id in the order or gift message isn't allowed"
"Could not add gift message to order: ""%1""","Could not add gift message to order: ""%1"""
"There is no order with provided id or gift message isn't allowed","There is no order with provided id or gift message isn't allowed"
"There is no order with provided id","There is no order with provided id"
"Gift Messages is not applicable for empty order","Gift Messages is not applicable for empty order"
"Could not add gift message to order's item: \"%1\"","Could not add gift message to order's item: \"%1\""
"Unknown entity type","Tipo de entidade desconhecido"
"From","De"
"To","Até"
"Message","Mensagem"
"Cancel","Cancelar"
"OK","OK"
"Gift Options","Opções de presente"
"Gift Message","Mensagem do presente"
"Do you have any gift items in your order?","Você tem algum item de presente em seu pedido?"
"Add gift options","Adicionar opções de presente"
"Gift Options for the Entire Order","Opções de presente para o pedido inteiro"
"Leave this box blank if you don't want to leave a gift message for the entire order.","Deixe essa caixa em branco se você não quer deixar uma mensagem de presente para todo o pedido."
"Gift Options for Individual Items","Opções de presente para itens individuais"
"<span>Item %1</span> of %2","<span>Item %1</span> de %2"
"Leave a box blank if you don't want to add a gift message for that item.","Deixe a caixa vazia se você não quer adicionar uma mensagem de presente naquele item."
"Add Gift Options for the Entire Order","Adicionar opções de presente para o pedido inteiro"
"You can leave this box blank if you don't want to add a gift message for this address.","Você pode deixar esta caixa vazia se você não quer adicionar uma mensagem de presente para este endereço."
"Add gift options for Individual Items","Adicionar opções de presente para itens individuais"
"You can leave this box blank if you don't want to add a gift message for the item.","Você pode deixar esta caixa vazia se você não quer adicionar uma mensagem de presente para o item."
"Allow Gift Messages on Order Level","Allow Gift Messages on Order Level"
"Allow Gift Messages for Order Items","Allow Gift Messages for Order Items"
