"Gift Wrapping","Embrulho para presente"
"Add Gift Wrapping","Adicionar embalagem de presente"
"Save and Continue Edit","Salvar e Continuar a Editar"
"Are you sure you want to delete this gift wrapping?","Are you sure you want to delete this gift wrapping?"
"Edit Gift Wrapping ""%1""","Edit Gift Wrapping ""%1"""
"New Gift Wrapping","New Gift Wrapping"
"Gift Wrapping Information","Informações de embalagem de presente"
"Gift Wrapping Design","Design da embalagem de presente"
"Websites","Websites"
"Status","Status"
"Enabled","Habilitado"
"Disabled","Desabilitado"
"Price","Preço"
"Image","Imagem"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[VISÃO DE LOJA]"
"Please request the correct gift wrapping.","Por favor, solicite a embalagem de presente correta."
"You updated a total of %1 records.","Você atualizou um total de %1 registros."
"Something went wrong while updating the wrapping(s) status.","Ocorreu um erro ao atualizar o status da(s) embalagem(s)."
"You deleted the gift wrapping.","Você excluiu a embalagem de presente."
"%1","%1"
"Please select items.","Por favor, selecione itens."
"You deleted a total of %1 records.","Você excluiu um total de %1 registros."
"You have not uploaded the image.","Você não enviou a imagem."
"You saved the gift wrapping.","Você salvou a embalagem de presente."
"We can't save the gift wrapping right now.","Não foi possível salvar a embalagem de presente."
"We can't update the image right now.","No momento, não foi possível atualizar a imagem."
"Please select","Selecione por favor"
"Excluding Tax","Excluindo impostos"
"Including Tax","Incluindo o imposto"
"Including and Excluding Tax","Incluindo e excluindo impostos"
"None","Nenhum"
"The image content must be valid data.","O conteúdo da imagem deve conter dados válidos."
"The image extension ""%1"" not allowed.","A extensão de imagem ""%1"" não é permitida."
"Provided image name contains forbidden characters.","O nome de arquivo fornecido contém caracteres proibidos."
"The image MIME type is not valid or not supported.","A tipo MIME da imagem não é válido ou não é suportado."
"Gift Wrapping with specified ID ""%1"" not found.","Gift Wrapping with specified ID ""%1"" not found."
"Please enter valid currency code: %1","Por favor, digite um código de moeda válida: %1"
"Unable to remove gift wrapping %1","Não foi possível remover a embalagem de presente %1"
"Printed Card","Cartão impresso"
"Use Default Value","Usar o Valor Padrão"
"Leave a box blank if you don't want to add gift wrapping for whole order.","Deixe essa caixa em branco, se você não quer adicionar uma embalagem de presente para todo pedido."
"Price Excl. Tax","Preço excl. imposto"
"Price Incl. Tax","Preço incl. imposto"
"Send Gift Receipt","Enviar recibo de presente"
"Add Printed Card","Adicionar cartão impresso"
"Gift Wrapping for the Entire Order","Embalagem de presente para o pedido inteiro"
"Other Gift Options","Outras opções de presente"
"Excl. Tax","Excl. Impostos"
"Incl. Tax","Imposto Incl."
"Custom Price","Preço personalizado "
"Preview","Pré-visualização"
"Allow Gift Wrapping on Order Level","Allow Gift Wrapping on Order Level"
"Allow Gift Wrapping for Order Items","Allow Gift Wrapping for Order Items"
"Allow Gift Receipt","Allow Gift Receipt"
"Allow Printed Card","Allow Printed Card"
"Default Price for Printed Card","Default Price for Printed Card"
"Tax Class for Gift Options","Tax Class for Gift Options"
"Display Gift Wrapping Prices","Display Gift Wrapping Prices"
"Display Printed Card Prices","Display Printed Card Prices"
"Delete","Excluir"
"Are you sure you want to delete the selected gift wrappings?","Are you sure you want to delete the selected gift wrappings?"
"Change Status","Mudar Status"
"ID","ID"
"Gift Wrap Design","Gift Wrap Design"
"Action","Ação"
"Edit","Editar"
