"Grouped Products","Grouped Products"
"Please specify the quantity of product(s).","Please specify the quantity of product(s)."
"Cannot process the item.","Não foi possível processar o item."
"Associated Products","Produtos Associados"
"Availability:","Disponibilidade:"
"Out of stock","Fora de estoque"
"ID","ID"
"SKU","SKU"
"Product Name","Nome do produto"
"Price","Preço"
"Qty","Qtd"
"No options of this product are available.","Não há opções deste produto estão disponíveis."
"There are no grouped products.","Não há nenhum produtos agrupados."
"Name","Nome"
"Default Qty","Qtde padrão"
"Starting at","Começando em"
"Availability","Disponibilidade"
"In stock","Em estoque"
"Grouped product items","Itens do produto agrupado"
"Add Products to Group","Add Products to Group"
"Add Selected Products","Add Selected Products"
"Grouped Product Image","Grouped Product Image"
