"Indexer Management","Indexer Management"
"Update by Schedule","Update by Schedule"
"Update on Save","Atualizar ao salvar"
"Reindex required","Reindex required"
"Ready","Pronto"
"Processing","Processando"
"Never","Nunca"
"Index Management","Index Management"
"Please select indexers.","Please select indexers."
"%1 indexer(s) are in ""Update by Schedule"" mode.","%1 indexer(s) are in ""Update by Schedule"" mode."
"We couldn't change indexer(s)' mode because of an error.","We couldn't change indexer(s)' mode because of an error."
"%1 indexer(s) are in ""Update on Save"" mode.","%1 indexer(s) are in ""Update on Save"" mode."
"One or more <a href=""%1"">indexers are invalid</a>. Make sure your <a href=""%2"" target=""_blank"">Magento cron job</a> is running.","One or more <a href=""%1"">indexers are invalid</a>. Make sure your <a href=""%2"" target=""_blank"">Magento cron job</a> is running."
"State for the same indexer","State for the same indexer"
"State for the same view","State for the same view"
"Some Exception Message","Some Exception Message"
"Test Phrase","Frase de Teste"
"Indexer","Indexador"
"Description","Descrição"
"Mode","Modo"
"Status","Status"
"Updated","Atualizado"
