"Invitations","Convites"
"Add Invitations","Adicionar convites"
"New Invitations","Novos convites"
"Invitations Information","Informações de convites"
"Enter Each Email on New Line","Digite cada e-mail em uma nova linha"
"Message","Mensagem"
"Send From","Enviado por"
"Invitee Group","Grupo convidado"
"View Invitation for %1 (ID: %2)","Ver convite para %1 (ID: %2)"
"Back","Voltar"
"Discard Invitation","Descartar o convite"
"Are you sure you want to discard this invitation?","Você tem certeza que deseja descartar este convite?"
"Save Invitation","Salvar convite"
"Send Invitation","Enviar convite"
"General","Geral"
"Default from System Configuration","Padrão da configuração do sistema"
"N/A","Não Disponível"
"Status History","Status History"
"Customers","Clientes"
"Order Conversion Rate","Order Conversion Rate"
"We can't find this invitation.","Não foi possível encontrar este convite."
"Please select invitations.","Por favor, selecione os convites."
"We discarded %1 of %2 invitations.","We discarded %1 of %2 invitations."
"We skipped %1 of the selected invitations.","We skipped %1 of the selected invitations."
"Something went wrong while sending invitations.","Something went wrong while sending invitations."
"No invitations have been resent.","No invitations have been resent."
"You sent %1 of %2 invitation(s).","You sent %1 of %2 invitation(s)."
"Something went wrong while sending %1 invitations.","Something went wrong while sending %1 invitations."
"We discarded %1 invitation(s) addressed to current customers.","We discarded %1 invitation(s) addressed to current customers."
"Please specify at least one email address.","Please specify at least one email address."
"We sent %1 invitation(s).","Enviamos %1 convite(s)."
"Something went wrong while sending %1 of %2 invitations.","Something went wrong while sending %1 of %2 invitations."
"%1 invitation(s) were not sent, because customer accounts already exist for these email addresses.","%1 invitation(s) were not sent, because customer accounts already exist for these email addresses."
"The invitation has been saved.","O convite foi salvo."
"Reports","Relatórios"
"Invitation Report by Customers","Invitation Report by Customers"
"Invited Customers Report","Invited Customers Report"
"General Report","General Report"
"Invitations Report","Invitations Report"
"Invitation Report by Order Conversion Rate","Invitation Report by Order Conversion Rate"
"Conversion Rate Report","Conversion Rate Report"
"The wrong customer account is specified.","The wrong customer account is specified."
"Please enter a correct confirmation key.","Please enter a correct confirmation key."
"Bad request.","Pedido ruim."
"Your invitation is not valid. Please create an account.","Seu convite não é válido. Por favor, crie uma conta."
"Your invitation is not valid. Please contact us at %1.","Your invitation is not valid. Please contact us at %1."
"We can't save this customer.","We can't save this customer."
"Page not found.","Página não encontrada."
"My Invitations","Meus convites"
"You sent the invitation for %1.","You sent the invitation for %1."
"Something went wrong while sending an email to %1.","Something went wrong while sending an email to %1."
"We did not send %1 invitation(s) addressed to current customers.","We did not send %1 invitation(s) addressed to current customers."
"Send Invitations","Enviar convites"
"Max Invitations Allowed to be Sent at One Time","Max Invitations Allowed to be Sent at One Time"
