"To see product price, add this item to your cart. You can always remove it later.","To see product price, add this item to your cart. You can always remove it later."
"See price before order confirmation.","Ver preço antes de confirmar pedido."
"On Gesture","On Gesture"
"In Cart","No carrinho"
"Before Order Confirmation","Before Order Confirmation"
"Use config","Usar o config"
"Click for price","Clique para precificar"
"What's this?","O que é isto?"
"Order total will be displayed before you submit the order","Order total will be displayed before you submit the order"
"You will see the order total before you submit the order.","You will see the order total before you submit the order."
"Price","Preço"
"Actual Price","Preço atual"
"Add to Cart","Adicionar ao Carrinho"
"Minimum Advertised Price","Preço mínimo anunciado"
"Enable MAP","Habilitar MAP"
"Display Actual Price","Display Actual Price"
"Default Popup Text Message","Default Popup Text Message"
"Default \"What's This\" Text Message","Default \"What's This\" Text Message"
