"Wishlist","Lista de desejos"
"Customer's Wish List Report","Relatório de lista de desejos dos clientes"
"My Wish Lists","Minha lista de desejos"
"1 item in wish list","1 item na lista de desejos"
"%1 items in wish list","%1 itens na lista de desejos"
"Wish List Search","Pesquisa na lista de desejos"
"Select Search Type","Selecione o tipo de pesquisa"
"Reports","Relatórios"
"Customers","Clientes"
"Customer Wish List Report","Customer Wish List Report"
"Wish list ""%1"" was saved.","Wish list ""%1"" was saved."
"We can't create the wish list right now.","We can't create the wish list right now."
"Page not found.","Página não encontrada."
"""%1"" was copied to %2.","""%1"" foi copiado para %2."
"We can't find the item.","Não conseguimos encontrar o item."
"""%1"" is already present in %2.","""%1"" is already present in %2."
"We can't copy \"%1\".","We can't copy \"%1\"."
"We can't copy the wish list item.","We can't copy the wish list item."
"We can't find %1 items.","We can't find %1 items."
"We can't copy %1 items.","We can't copy %1 items."
"%1 items are already present in %2: %3.","%1 items are already present in %2: %3."
"%1 items were copied to %2: %3.","%1 items were copied to %2: %3."
"You can't delete the default wish list.","You can't delete the default wish list."
"Wish List ""%1"" has been deleted.","Wish List ""%1"" has been deleted."
"We can't delete the wish list right now.","We can't delete the wish list right now."
"""%1"" was moved to %2.","""%1"" was moved to %2."
"We can't find an item with this ID.","We can't find an item with this ID."
"We cannot move ""%1"".","We cannot move ""%1""."
"We can't move the wish list item.","We can't move the wish list item."
"%1 items cannot be moved: %2.","%1 items cannot be moved: %2."
"We can't move %1 items.","We can't move %1 items."
"%1 items were moved to %2: %3.","%1 items were moved to %2: %3."
"%1 for ""%2""","%1 for ""%2"""
"We can't add the item to shopping cart.","We can't add the item to shopping cart."
"We can't add the following product(s) to shopping cart: %1.","We can't add the following product(s) to shopping cart: %1."
"Product(s) %1 have required options. Each product can only be added individually.","Product(s) %1 have required options. Each product can only be added individually."
"%1 product(s) have been added to shopping cart: %2.","%1 produtos foram adicionados ao carrinho de compras: %2."
"Please reenter your search options.","Please reenter your search options."
"We could not perform the search.","We could not perform the search."
"All Forms","Todas as formas"
"Owner Name","Nome do proprietário"
"Owner Email","Owner Email"
"%1's Wish List","Lista de Desejos de %1"
"%1's Wish List (%2)","%1's Wish List (%2)"
"Please enter a valid email address.","Por favor, insira um endereço de e-mail válido."
"Please enter at least 2 letters of the first name.","Por favor, insira pelo menos 2 letras no nome."
"Please enter at least 2 letters of the last name.","Por favor, insira pelo menos 2 letras no sobrenome."
"Sign in to edit wish lists.","Sign in to edit wish lists."
"The wish list is not assigned to your account and can't be edited.","The wish list is not assigned to your account and can't be edited."
"Provide the wish list name.","Provide the wish list name."
"Wish list ""%1"" already exists.","Wish list ""%1"" already exists."
"Only %1 wish list(s) can be created.","Only %1 wish list(s) can be created."
"Test Phrase","Frase de Teste"
"Unknown Magento error","Unknown Magento error"
"InvalidArgumentException","InvalidArgumentException"
"Refresh","Atualizar"
"All Wish Lists","Todas as listas de desejos"
"Item","Item"
"Qty","Qtd"
"Price","Preço"
"Remove","Remover"
"Add To Order","Adicionar ao pedido"
"Configure and Add to Order","Configurar e adicionar ao pedido"
"No items","Não há itens"
"Delete Wish List","Excluir a lista de desejos"
"Owner","Proprietário"
"Name","Nome"
"Updated","Atualizado"
"Wish List Items","Itens da lista de desejos"
"You must select items to add to the cart.","Você precisa selecionar os itens para adicionar no carrinho."
"Add to Cart","Adicionar ao Carrinho"
"Back","Voltar"
"Add to:","Adicionar a:"
"Create New Wish List","Criar nova lista de desejos"
"Move to Wish List","Mover para Lista de Desejos"
"Copy to Wish List","Copiar para lista de desejo"
"Search Options","Opções de pesquisa"
"Required Fields","Campos Obrigatórios"
"First Name","Nome"
"Last Name","Sobrenome"
"Search","Pesquisa"
"Search Results","Resultados da busca"
"Wish List Name","Nome da lista de desejos"
"Actions","Ações"
"View","Visualizar"
"Your search returned no results.","A sua pesquisa não retornou resultados."
"Wish List","Lista de desejos"
"Edit Wish List","Editar lista de desejos"
"Edit","Editar"
"Public Wish List","Lista de desejo pública"
"Private Wish List","Lista de desejo privada"
"Select all","Selecionar tudo"
"Move Selected to Wish List","Move Selected to Wish List"
"Copy Selected to Wish List","Copy Selected to Wish List"
"Search By","Pesquisar por"
"Please enter at least two letters.","Por favor, insira pelo menos duas letras."
"Close","Fechar"
"Save","Salvar"
"Cancel","Cancelar"
"We can't create the Wish List right now.","Não podemos criar a Lista de Desejos agora."
"Please select items to move.","Please select items to move."
"Please select items to copy.","Please select items to copy."
"Are you sure you want to delete your wish list? This action can't be undone.","Are you sure you want to delete your wish list? This action can't be undone."
"Enable Multiple Wish Lists","Permitir várias listas de desejos"
"Number of Multiple Wish Lists","Número de múltiplas listas de desejos"
"The number of multiple wish lists should be equal to or more than 2.","The number of multiple wish lists should be equal to or more than 2."
"My Wish Lists Link","Link das minhas listas de desejos"
"Display Wish Lists Summary","Display Wish Lists Summary"
"Wish List Search Description","Wish List Search Description"
"Quick Search Form Types","Quick Search Form Types"
"Template","Template"
"Wish List Search Template","Wish List Search Template"
"CSV","CSV"
"Excel XML","Excel, XML"
"Added","Adicionado"
"Customer","Cliente"
"Status","Status"
"Public","Público"
"Private","Privado"
"Product","Produto"
"SKU","SKU"
"Comment","Comentar"
"Wish List Quantity","Quantidade de lista de desejos"
"Store Quantity","Store Quantity"
"Surplus / Deficit","Surplus / Deficit"
"All Websites","Todos os sites"
"Product Info","Informação do produto"
"Unit Price","Preço unitário"
"Add to Wish List","Adicionar à lista de desejos"
