"Delete Selected Problems","Excluir os problemas selecionados"
"Unsubscribe Selected","Unsubscribe Selected"
"Back","Voltar"
"Reset","Reiniciar"
"Preview Template","Visualizar template"
"Save Newsletter","Salvar newsletter"
"Save and Resume","Save e Continuar"
"View Newsletter","Ver newsletter"
"Edit Newsletter","Editar newsletter"
"Queue Information","Informações da fila"
"Queue Date Start","Queue Date Start"
"Subscribers From","Assinantes de"
"Subject","Assunto"
"Sender Name","Nome do remetente"
"Sender Email","E-mail do remetente"
"Message","Mensagem"
"Newsletter Styles","Newsletter Styles"
"Start","Ínicio"
"Pause","Pausar"
"Do you really want to cancel the queue?","Do you really want to cancel the queue?"
"Cancel","Cancelar"
"Resume","Resumir"
"Preview","Pré-visualização"
"Add New Template","Adicionar novo template"
"Newsletter Templates","Modelos de newsletter"
"Convert to Plain Text","Converter para texto sem formatação"
"Return HTML Version","Retornar a versão HTML"
"Delete Template","Excluir Template"
"Save As","Salvar como"
"Save Template","Salvar Template"
"Edit Newsletter Template","Editar modelo de newsletter"
"New Newsletter Template","Novo modelo de newsletter"
"Template Information","Informações do template"
"Template Name","Nome do template"
"Template Subject","Assunto do Template"
"Template Content","Conteúdo do Template"
"Template Styles","Estilos de template"
"No Templates Found","Nenhum modelo foi encontrado"
"ID","ID"
"Template","Template"
"Added","Adicionado"
"Updated","Atualizado"
"Sender","Remetente"
"Template Type","Tipo de modelo"
"Action","Ação"
"Queue Newsletter","Queue Newsletter"
"We unsubscribed the people you identified.","We unsubscribed the people you identified."
"The problems you identified have been deleted.","The problems you identified have been deleted."
"Newsletter Problems Report","Newsletter Problems Report"
"Newsletter Problem Reports","Newsletter Problem Reports"
"Newsletter Queue","Newsletter Queue"
"Edit Queue","Edit Queue"
"Please correct the newsletter template and try again.","Please correct the newsletter template and try again."
"You saved the newsletter queue.","You saved the newsletter queue."
"Newsletter Subscribers","Newsletter Subscribers"
"Newsletter","Newsletter"
"Subscribers","Subscribers"
"Please select one or more subscribers.","Please select one or more subscribers."
"Total of %1 record(s) were deleted.","Total of %1 record(s) were deleted."
"A total of %1 record(s) were updated.","Um total de %1 registro(s) foram atualizados."
"The newsletter template has been deleted.","The newsletter template has been deleted."
"We can't delete this template right now.","We can't delete this template right now."
"Edit Template","Editar Template"
"New Template","Novo template"
"Create Newsletter Template","Create Newsletter Template"
"The newsletter template has been saved.","The newsletter template has been saved."
"Something went wrong while saving this template.","Something went wrong while saving this template."
"Newsletter Subscription","Assinar Newsletter"
"Something went wrong while saving your subscription.","Something went wrong while saving your subscription."
"We saved the subscription.","We saved the subscription."
"We removed the subscription.","We removed the subscription."
"Your subscription has been confirmed.","Your subscription has been confirmed."
"This is an invalid subscription confirmation code.","This is an invalid subscription confirmation code."
"This is an invalid subscription ID.","This is an invalid subscription ID."
"This email address is already assigned to another user.","This email address is already assigned to another user."
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>."
"Please enter a valid email address.","Por favor, insira um endereço de e-mail válido."
"The confirmation request has been sent.","The confirmation request has been sent."
"Thank you for your subscription.","Thank you for your subscription."
"There was a problem with the subscription: %1","There was a problem with the subscription: %1"
"Something went wrong with the subscription.","Something went wrong with the subscription."
"You unsubscribed.","You unsubscribed."
"Something went wrong while unsubscribing you.","Something went wrong while unsubscribing you."
"Sent","Enviado"
"Cancelled","Cancelled"
"Not Sent","Não Enviado"
"Sending","Enviando"
"Paused","Pausado"
"There are no subscribers selected.","There are no subscribers selected."
"You selected an invalid queue.","You selected an invalid queue."
"We cannot mark as received subscriber.","We cannot mark as received subscriber."
"Duplicate template code","Duplicate template code"
