"Url","Url"
"Title","Título"
"Description","Descrição"
"Preview Image","Preview Image"
"Get Video Information","Obter informações do vídeo"
"Hide from Product Page","Ocultar da Página de Produtos"
"Role","Função"
"YouTube and Vimeo supported.","YouTube and Vimeo supported."
"Vimeo supported.<br />To add YouTube video, please <a href=""%1"">enter YouTube API Key</a> first.","Vimeo supported.<br />To add YouTube video, please <a href=""%1"">enter YouTube API Key</a> first."
"Could not get preview image information. Please check your connection and try again.","Could not get preview image information. Please check your connection and try again."
"Click here to add videos.","Clique aqui para adicionar vídeos."
"New Video","Novo vídeo"
"Add Video","Add Video"
"Add video","Add video"
"Click here or drag and drop to add images.","Clique aqui ou arraste e solte para adicionar imagens."
"Delete video","Delete video"
"Delete image","Excluir Imagem"
"Make Base","Tornar Base"
"Hidden","Oculto"
"Alt Text","Texto Alternativo"
"Title:","Title:"
"Uploaded:","Uploaded:"
"Uploader:","Uploader:"
"Duration:","Duration:"
"Video Error","Video Error"
"Unknown video type","Unknown video type"
"Invalid video url","Invalid video url"
"Youtube API key is invalid","Youtube API key is invalid"
"Video cant be shown due to the following reason: ","Video cant be shown due to the following reason: "
"Video not found","Video not found"
"Save","Salvar"
"Cancel","Cancelar"
"Delete","Excluir"
"Edit Video","Edit Video"
"Images and Videos","Imagens e Vídeos"
"Product Video","Product Video"
"YouTube API Key","YouTube API Key"
"Autostart base video","Autostart base video"
"Show related video","Show related video"
"Auto restart video","Auto restart video"
