"New Accounts","New Accounts"
"Customers by number of orders","Customers by number of orders"
"Customers by Orders Total","Customers by Orders Total"
"Filter","Filtro"
"Date Used","Date Used"
"Day","Dia"
"Month","Mês"
"Year","Ano"
"Period","Período"
"From","De"
"To","Até"
"Yes","Sim"
"No","Não"
"Empty Rows","Linhas vazias"
"Invalid date specified","Invalid date specified"
"Refresh","Atualizar"
"We can't find records for this period.","We can't find records for this period."
"Show Reviews","Show Reviews"
"Products Report","Products Report"
"Downloads","Downloads"
"Product","Produto"
"Link","Link"
"SKU","SKU"
"Purchases","Compras"
"CSV","CSV"
"Excel XML","Excel, XML"
"Unlimited","Ilimitado"
"Low stock","Low stock"
"Products Ordered","Products Ordered"
"Most Viewed","Most Viewed"
"Show Report","Show Report"
"Interval","Intervalo"
"Total","Total"
"Price","Preço"
"Views","Visões"
"Refresh Statistics","Atualizar estatísticas"
"Customers Reviews","Customers Reviews"
"Reviews for %1","Reviews for %1"
"Customer","Cliente"
"Title","Título"
"Detail","Detalhe"
"Created","Criado"
"Products Reviews","Products Reviews"
"Products Bestsellers Report","Products Bestsellers Report"
"Order Quantity","Order Quantity"
"Coupons Usage Report","Coupons Usage Report"
"Subtotal","Subtotal"
"Coupon Code","Código do cupom"
"Price Rule","Price Rule"
"Uses","Usos"
"Sales Subtotal","Sales Subtotal"
"Sales Discount","Sales Discount"
"Sales Total","Sales Total"
"Discount","Desconto"
"Total Invoiced vs. Paid Report","Total Invoiced vs. Paid Report"
"Orders","Pedidos"
"Invoiced Orders","Invoiced Orders"
"Total Invoiced","Total Invoiced"
"Paid Invoices","Faturas pagas"
"Unpaid Invoices","Faturas não-pagas"
"Total Refunded Report","Relatório total de reembolso"
"Refunded Orders","Pedidos reembolsados"
"Total Refunded","Total reembolsado"
"Online Refunds","Reembolso on-line"
"Offline Refunds","Reembolso off-line"
"Total Ordered Report","Total Ordered Report"
"Sales Items","Sales Items"
"Items","Itens"
"Revenue","Receita"
"Profit","Lucro"
"Invoiced","Faturado"
"Paid","Pago"
"Refunded","Reembolsado"
"Sales Tax","Sales Tax"
"Tax","Taxa"
"Sales Shipping","Sales Shipping"
"Shipping","Frete"
"Canceled","Cancelado"
"Total Shipped Report","Total Shipped Report"
"Carrier/Method","Carrier/Method"
"Total Sales Shipping","Total Sales Shipping"
"Total Shipping","Total Shipping"
"Order Taxes Report Grouped by Tax Rate","Order Taxes Report Grouped by Tax Rate"
"Rate","Rate"
"Tax Amount","Valor do imposto"
"Abandoned carts","Abandoned carts"
"Email","E-mail"
"Products","Produtos"
"Quantity","Quantidade"
"Applied Coupon","Applied Coupon"
"Updated","Atualizado"
"IP Address","IP Address"
"Customers","Clientes"
"ID","ID"
"First Name","Nome"
"Last Name","Sobrenome"
"Items in Cart","Itens no Carrinho"
"Products in carts","Products in carts"
"Carts","Carrinhos"
"Name","Nome"
"Wish Lists","Wish Lists"
"Wish List Purchase","Wish List Purchase"
"Wish List vs. Regular Order","Wish List vs. Regular Order"
"Times Deleted","Times Deleted"
"Index type is not valid","Index type is not valid"
"Reports","Relatórios"
"Last updated: %1. To refresh last day's <a href=\"%2\">statistics</a>, click <a href=\"%3\">here</a>.","Last updated: %1. To refresh last day's <a href=\"%2\">statistics</a>, click <a href=\"%3\">here</a>."
"New Accounts Report","New Accounts Report"
"Customers by Number of Orders","Customers by Number of Orders"
"Order Count Report","Order Count Report"
"Order Total Report","Order Total Report"
"Downloads Report","Downloads Report"
"Low Stock","Low Stock"
"Low Stock Report","Low Stock Report"
"Ordered Products Report","Ordered Products Report"
"Products Most Viewed Report","Products Most Viewed Report"
"Product Views Report","Product Views Report"
"An error occurred while showing the product views report. Please review the log and try again.","An error occurred while showing the product views report. Please review the log and try again."
"Review","Avaliação"
"Reviews","Avaliações"
"Customers Report","Relatórios de clientes"
"Customer Reviews Report","Customer Reviews Report"
"Product Reviews Report","Product Reviews Report"
"Product Reviews","Avaliações do Produto"
"Details","Detalhes"
"Sales","Vendas"
"Best Sellers Report","Best Sellers Report"
"Coupons","Cupons"
"Coupons Report","Relatório de cupons"
"Invoice Report","Relatório de fatura"
"Refunds Report","Relatório de reebolsos"
"Sales Report","Relatório de vendas"
"Shipping Report","Relatório de envio"
"Tax Report","Tax Report"
"Shopping Cart","Carrinho de Compras"
"Abandoned Carts","Carrinhos abandonados"
"Customer Shopping Carts","Customer Shopping Carts"
"Products in Carts","Products in Carts"
"Statistics","Statistics"
"No report code is specified.","No report code is specified."
"You refreshed lifetime statistics.","You refreshed lifetime statistics."
"We can't refresh lifetime statistics.","Não foi possível atualizar a estatística do ciclo de vida."
