"Apply","Aplicar"
"Please choose a valid discount amount.","Please choose a valid discount amount."
"End Date must follow Start Date.","End Date must follow Start Date."
"Please specify a website.","Por favor, especifique um site."
"Please specify Customer Groups.","Por favor, especifique os grupos de clientes."
"to","para"
"by","by"
"Please choose an action to add.","Please choose an action to add."
"Perform following actions","Perform following actions"
"is","é"
"is not","não é"
"equals or greater than","é igual ou maior que"
"equals or less than","é igual ou menor que"
"greater than","maior do que"
"less than","menos que"
"contains","contém"
"does not contain","does not contain"
"is one of","é um dos"
"is not one of","não é um dos"
"Please choose a condition to add.","Por favor, escolha uma condição para adicionar."
"Add","Adicionar"
"Remove","Remover"
"ALL","ALL"
"ANY","ANY"
"TRUE","TRUE"
"FALSE","FALSE"
"If %1 of these conditions are %2:","If %1 of these conditions are %2:"
"Conditions Combination","Combinação de Condições"
"Attribute Set","Conjunto de Atributos"
"Category","Categoria"
"Open Chooser","Abrir Seletor"
"Unknown condition operator","Unknown condition operator"
"There is no information about associated entity type ""%1"".","There is no information about associated entity type ""%1""."
"This won't take long . . .","Não vai demorar."
