"button_label","button_label"
"This search no longer exists.","Esta pesquisa não existe mais."
"Please fill in Hostname, Port, Path","Please fill in Hostname, Port, Path"
"We were unable to perform the search because of a search engine misconfiguration.","We were unable to perform the search because of a search engine misconfiguration."
"Could not ping search engine: %1","Could not ping search engine: %1"
"Final commit","Final commit"
"Partial commit","Partial commit"
"Engine autocommit","Engine autocommit"
"Something went wrong","Something went wrong"
"Successful! Test again?","Successful! Test again?"
"Connection failed! Test again?","Connection failed! Test again?"
"Solr Server Hostname","Solr Server Hostname"
"Solr Server Port","Solr Server Port"
"Solr Server Username","Solr Server Username"
"Solr Server Password","Solr Server Password"
"Solr Server Timeout","Solr Server Timeout"
"Solr Server Path","Solr Server Path"
"Without starting and trailing slashes.","Without starting and trailing slashes."
"Indexation Mode","Modo de indexação"
"Partial commit mode affects time of indexation, but allows indexed products to be visible on Storefront before indexation is completed.","Partial commit mode affects time of indexation, but allows indexed products to be visible on Storefront before indexation is completed."
"Test Connection","Test Connection"
