"Back","Voltar"
"Backup Log Details","Backup Log Details"
"Create","Create"
"Requested system report has no data to output.","Requested system report has no data to output."
"&copy; Magento Commerce Inc., %1","&copy; Magento Commerce Inc., %1"
"Are you sure you want to delete the system report?","Are you sure you want to delete the system report?"
"Download","Fazer Download"
"Go to Top","Go to Top"
"Report","Relatório"
"System Report Information","System Report Information"
"Requested system report has no data to display.","Requested system report has no data to display."
"Output path %1 doesn't exist","Output path %1 doesn't exist"
"Unknown DB param: %1","Unknown DB param: %1"
"Paths file already exists","Paths file already exists"
"Paths file cannot be created","Paths file cannot be created"
"Please select item(s).","Please select item(s)."
"A total of %1 record(s) have been deleted.","Um total de %1 registro(s) foram excluídos."
"Support","Support"
"Data Collector","Data Collector"
"The backup has been saved.","The backup has been saved."
"Failed to save backup with error: %1","Failed to save backup with error: %1"
"An error occurred while saving backup","An error occurred while saving backup"
"All processes should be complete","All processes should be complete"
"Wrong param id","Wrong param id"
"The backup has been deleted.","The backup has been deleted."
"Cannot delete backup","Cannot delete backup"
"File does not exist","File does not exist"
"Log Details","Log Details"
"An error occurred during mass deletion of data collector backups. Please review log and try again.","An error occurred during mass deletion of data collector backups. Please review log and try again."
"After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed.","After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed."
"Create System Report","Create System Report"
"Unable to find a system report to delete.","Unable to find a system report to delete."
"The system report has been deleted.","The system report has been deleted."
"An error occurred while deleting the system report. Please review log and try again.","An error occurred while deleting the system report. Please review log and try again."
"Requested system report no longer exists.","Requested system report no longer exists."
"Unable to read system report data to display.","Unable to read system report data to display."
"No groups were specified to generate system report.","No groups were specified to generate system report."
"The system report has been generated.","The system report has been generated."
"An error occurred while the system report was being created. Please review the log and try again.","An error occurred while the system report was being created. Please review the log and try again."
"System Reports","System Reports"
"An error occurred during mass deletion of system reports. Please review log and try again.","An error occurred during mass deletion of system reports. Please review log and try again."
"Utility %1 not found","Utility %1 not found"
"Unknown utility: %1","Unknown utility: %1"
"Support Module doesn't support %s operation system","Support Module doesn't support %s operation system"
"Unable to create backup due to php exec function is disabled","Unable to create backup due to php exec function is disabled"
"Incomplete","Incomplete"
"Complete","Finalizado"
"Failed","Failed"
"Directory %s should have writable & readable permissions","Directory %s should have writable & readable permissions"
"Windows","Windows"
"OS X","OS X"
"Unknown Status","Status desconhecido"
"Processing ...","Processing ..."
"(now)","(now)"
"[%1 minutes ago]","[%1 minutes ago]"
"[%1 hours ago]","[%1 hours ago]"
"[%1 days ago]","[%1 days ago]"
"[%1 weeks ago]","[%1 weeks ago]"
"[%1 months ago]","[%1 months ago]"
"[%1 years ago]","[%1 years ago]"
"And more...","And more..."
"Column %1","Column %1"
"Preparing system report data: Detected Single Row Mode but data may be incomplete.","Preparing system report data: Detected Single Row Mode but data may be incomplete."
"Yes","Sim"
"No","Não"
"All Eav Attributes","All Eav Attributes"
"Category Eav Attributes","Category Eav Attributes"
"Customer Address Eav Attributes","Customer Address Eav Attributes"
"Customer Eav Attributes","Customer Eav Attributes"
"Entity Types","Entity Types"
"ID","ID"
"Code","Código"
"Model","Model"
"Attribute Model","Attribute Model"
"Increment Model","Increment Model"
"Main Table","Main Table"
"Additional Attribute Table","Additional Attribute Table"
"New Eav Attributes","New Eav Attributes"
"Product Eav Attributes","Product Eav Attributes"
"Rma Item Eav Attributes","Rma Item Eav Attributes"
"User Defined Eav Attributes","User Defined Eav Attributes"
"Name","Nome"
"Enabled","Habilitado"
"Value","Valor"
"Scope","Escopo"
"Configuration","Configuração"
"Path","Caminho"
"Data from app/etc/env.php","Data from app/etc/env.php"
"Title","Título"
"Group","Grupo"
"Is Gateway","Is Gateway"
"Void","Anular"
"For Checkout","For Checkout"
"For Multishipping","For Multishipping"
"Capture Online","Capturar on-line"
"Partial Capture Online","Partial Capture Online"
"Refund Online","Reembolsado on-line"
"Partial Refund Online","Reembolso parcial on-line"
"Capture Offline","Capturar off-line"
"Partial Capture Offline","Partial Capture Offline"
"Refund Offline","Restituido off-line"
"Partial Refund Offline","Reembolso parcial off-line"
"Payments Functionality Matrix","Payments Functionality Matrix"
"Payment Methods","Forma de pagamento"
"Shipping Methods","Métodos de envio"
"Job Code","Job Code"
"Cron Expression","Cron Expression"
"Run Class","Run Class"
"Run Method","Run Method"
"Group Code","Group Code"
"All Configurable Cron Jobs","All Configurable Cron Jobs"
"All Global Cron Jobs","All Global Cron Jobs"
"Cron Schedules List","Cron Schedules List"
"Schedule Id","Schedule Id"
"Status","Status"
"Created At","Criado em"
"Scheduled At","Scheduled At"
"Executed At","Executed At"
"Finished At","Finished At"
"Core Configurable Cron Jobs","Core Configurable Cron Jobs"
"Core Global Cron Jobs","Core Global Cron Jobs"
"Cron Schedules by job code","Cron Schedules by job code"
"Count","Count"
"Cron Schedules by status code","Cron Schedules by status code"
"Status Code","Código de status"
"Custom Configurable Cron Jobs","Custom Configurable Cron Jobs"
"Custom Global Cron Jobs","Custom Global Cron Jobs"
"Errors in Cron Schedules Queue","Errors in Cron Schedules Queue"
"Error","Erro"
"Corrupted Categories Data","Corrupted Categories Data"
"Id","Id"
"Expected Children Count","Expected Children Count"
"Actual Children Count","Actual Children Count"
"Expected Level","Expected Level"
"Actual Level","Actual Level"
"Duplicate Categories By URL Key","Duplicate Categories By URL Key"
"URL key","URL key"
"Store","Loja"
"Duplicate Orders By Increment Id","Duplicate Orders By Increment Id"
"Increment Id","Increment Id"
"Customer Id","Customer Id"
"Duplicate Products By SKU","Duplicate Products By SKU"
"SKU","SKU"
"Duplicate Products By URL Key","Duplicate Products By URL Key"
"URL Key","Chave URL"
"Website","Website"
"Duplicate Users By Email","Duplicate Users By Email"
"Email","E-mail"
"Type","Tipo"
"Parent","Parent"
"Adminhtml Themes List","Adminhtml Themes List"
"Frontend Themes List","Frontend Themes List"
"Event Name","Event Name"
"Observer Class","Observer Class"
"Method","Method"
"All Admin Events","All Admin Events"
"All Crontab Events","All Crontab Events"
"All Doc Events","All Doc Events"
"All Frontend Events","All Frontend Events"
"All Global events","All Global events"
"All REST Events","All REST Events"
"All SOAP Events","All SOAP Events"
"Core Admin Events","Core Admin Events"
"Core Crontab Events","Core Crontab Events"
"Core Doc Events","Core Doc Events"
"Core Frontend Events","Core Frontend Events"
"Core Global Events","Core Global Events"
"Core REST Events","Core REST Events"
"Core SOAP Events","Core SOAP Events"
"Custom Admin Events","Custom Admin Events"
"Custom Crontab Events","Custom Crontab Events"
"Custom Doc Events","Custom Doc Events"
"Custom Frontend Events","Custom Frontend Events"
"Custom Global Events","Custom Global Events"
"Custom REST Events","Custom REST Events"
"Custom SOAP Events","Custom SOAP Events"
"Log Files","Log Files"
"File","Arquivo"
"Size","Tamanho"
"Log Entries","Log Entries"
"Last Update","Última atualização"
"Today's Top Debug Messages","Today's Top Debug Messages"
"Message","Mensagem"
"Last Occurrence","Last Occurrence"
"Today's Top Exception Messages","Today's Top Exception Messages"
"Stack Trace","Stack Trace"
"Today's Top System Messages","Today's Top System Messages"
"Top Debug Messages","Top Debug Messages"
"Top Exception Messages","Top Exception Messages"
"Top System Messages","Top System Messages"
"Store Views List","Store Views List"
"Stores List","Lista de lojas"
"Root Category","Categoria Principal"
"Default Store View","Visão de Loja Padrão"
"Websites List","Websites List"
"Is Default","É o Padrão"
"Default Store","Loja Padrão"
"Websites Tree","Websites Tree"
"There was an error while loading system report data.","There was an error while loading system report data."
"General","Geral"
"Environment","Environment"
"Cannot save backup. The reason is: Utility lsof not found","Cannot save backup. The reason is: Utility lsof not found"
"Test error","Test error"
"Error message!","Mensagem de erro!"
"User Defined","Definidos pelo usuário"
"Entity Type Code","Entity Type Code"
"Source Model","Source Model"
"Backend Model","Backend Model"
"Frontend Model","Frontend Model"
"Show Log","Show Log"
"Delete","Excluir"
"Delete ""%1""","Delete ""%1"""
"Are you sure you want to delete a ""%1"" record?","Are you sure you want to delete a ""%1"" record?"
"View","Visualizar"
"Are you sure you wan't to delete a \"%1\" record?","Are you sure you wan't to delete a \"%1\" record?"
"Empty log","Empty log"
"Backup ID: ","Backup ID: "
"Collapse","Collapse"
"Expand","Expand"
" (no data)"," (no data)"
"Top","Top"
"No data","No data"
"Data","Data"
"Modules","Módulos"
"Logs","Logs"
"Attributes","Atributos"
"Events","Eventos"
"Cron","Cron"
"Design","Design"
"Stores","Lojas"
"Refresh Status","Atualizar Status"
"New Backup","Novo Backup"
"Delete items","Excluir itens"
"Are you sure you want to delete selected item(s)?","Are you sure you want to delete selected item(s)?"
"Code Dump","Code Dump"
"DB Dump","DB Dump"
"Choose Report Groups","Choose Report Groups"
"New Report","New Report"
"Date Generated","Date Generated"
