"Swatch Helper: not valid parameter for product instantiation","Swatch Helper: not valid parameter for product instantiation"
"Admin is a required field in the each row","Admin is a required field in the each row"
"Update Product Preview Image","Update Product Preview Image"
"Filtering by this attribute will update the product image on catalog page","Filtering by this attribute will update the product image on catalog page"
"Use Product Image for Swatch if Possible","Use Product Image for Swatch if Possible"
"Allows use fallback logic for replacing swatch image with product swatch or base image","Allows use fallback logic for replacing swatch image with product swatch or base image"
"Visual Swatch","Visual Swatch"
"Text Swatch","Text Swatch"
"Manage Swatch (values of your attribute)","Manage Swatch (values of your attribute)"
"Is Default","É o Padrão"
"Add Swatch","Add Swatch"
"Sort Option","Opção de Ordenação"
"Delete","Excluir"
"Swatch","Swatch"
"Step 2: Attribute Values","Passo 2: Valores de atributo"
"Select values from each attribute to include in this product. Each unique combination of values creates a unigue product SKU.","Selecione os valores de cada atributo para incluir neste produto. Cada combinação de valores cria um SKU de produto único."
"Sort Variations","Variações de Ordenação"
"Options","Opções"
"Select All","Selecionar Todos"
"Deselect All","Desmarcar Tudo"
"Remove Attribute","Remover atributo"
"Save Option","Gravar Opção"
"Remove Option","Remover Opção"
"Create New Value","Criar Novo Valor"
"Swatches per Product","Swatches per Product"
