"Tax Rate Information","Tax Rate Information"
"Tax Identifier","Tax Identifier"
"Zip/Post is Range","Zip/Post is Range"
"Zip/Post Code","Zip/Post Code"
"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.","'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1."
"Range From","Range From"
"Range To","Range To"
"State","State"
"Country","País"
"Rate Percent","Rate Percent"
"Tax Titles","Tax Titles"
"Add New Tax Rate","Add New Tax Rate"
"Back","Voltar"
"Reset","Reiniciar"
"Delete Rate","Delete Rate"
"Are you sure you want to do this?","Você tem que deseja fazer isso?"
"Save Rate","Save Rate"
"Manage Tax Rules","Manage Tax Rules"
"Add New Tax Rule","Add New Tax Rule"
"Save Rule","Save Rule"
"Delete Rule","Delete Rule"
"Save and Continue Edit","Salvar e Continuar a Editar"
"Tax Rule Information","Tax Rule Information"
"Name","Nome"
"Customer Tax Class","Customer Tax Class"
"Product Tax Class","Product Tax Class"
"Tax Rate","Tax Rate"
"Priority","Prioridade"
"Tax rates at the same priority are added, others are compounded.","Tax rates at the same priority are added, others are compounded."
"Calculate Off Subtotal Only","Calculate Off Subtotal Only"
"Sort Order","Ordernação"
"Do you really want to delete this tax class?","Do you really want to delete this tax class?"
"Add New Tax Class","Add New Tax Class"
"Shipping Incl. Tax (%1)","Frete incl. imposto (%1)"
"Shipping Excl. Tax (%1)","Frete excl. imposto (%1)"
"Subtotal (Excl.Tax)","Subtotal (Excl.Tax)"
"Subtotal (Incl.Tax)","Subtotal (Incl.Tax)"
"Shipping & Handling (Excl.Tax)","Shipping & Handling (Excl.Tax)"
"Shipping & Handling (Incl.Tax)","Shipping & Handling (Incl.Tax)"
"Grand Total (Excl.Tax)","Grand Total (Excl.Tax)"
"Grand Total (Incl.Tax)","Grand Total (Incl.Tax)"
"Sales","Vendas"
"Tax","Taxa"
"Manage Tax Rates","Manage Tax Rates"
"New Tax Rate","New Tax Rate"
"Tax Zones and Rates","Tax Zones and Rates"
"We can't delete this tax rate right now.","We can't delete this tax rate right now."
