"Delete Current Hierarchy","Delete Current Hierarchy"
"Copy","Copiar"
"Pages Hierarchy","Hierarquia de páginas"
"Page Properties","Propriedades da página"
"Title","Título"
"URL Key","Chave URL"
"Preview","Pré-visualização"
"Preview is not available.","A pré-visualização não está disponível."
"Render Metadata in HTML Head.","Render Metadata in HTML Head."
"First","First"
"Next/Previous","Seguinte/Anterior"
"Enable Chapter/Section","Habilitar capítulo/seção"
"Enables Chapter/Section functionality for this node, its sub-nodes and pages","Enables Chapter/Section functionality for this node, its sub-nodes and pages"
"Chapter/Section","Capítulo/Seção"
"Defines this node as Chapter/Section","Define este nó como capítulo/seção"
"Pagination Options for Nested Pages","Pagination Options for Nested Pages"
"Enable Pagination","Habilitar paginação"
"Frame","Quadro"
"Set the number of links to display at one time.","Defina o número de links para mostrar por vez."
"Frame Skip","Frame Skip"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value"
"Page Navigation Menu Options","Page Navigation Menu Options"
"Exclude from Navigation Menu","Excluir do menu de navegação"
"Show in navigation menu.","Mostrar no menu de navegação."
"Menu Layout","Layout do menu"
"Only Children","Apenas filhos"
"Neighbours and Children","Neighbours and Children"
"Menu Detalization","Menu Detalization"
"Maximal Depth","Profundidade máxima"
"Node Levels to Include","Node Levels to Include"
"List Type","List Type"
"List Style","List Style"
"Main Navigation Menu Options","Main Navigation Menu Options"
"Add selected page(s) to the tree.","Add selected page(s) to the tree."
"Remove from tree.","Remove from tree."
"Cancel","Cancelar"
"Save","Salvar"
"Add Node...","Adicionar nó..."
"Add to tree.","Adicione à árvore."
"Update","Atualizar"
"Node Properties","Propriedades do nó"
"Page ID","ID da página"
"Manage Hierarchies","Gerenciar hierarquias"
"Version Control","Controle de versão"
"No","Não"
"Yes","Sim"
"Hierarchy","Hierarquia"
"Version Label","Etiqueta de versão"
"Owner","Proprietário"
"Access Level","Nível de acesso"
"Quantity","Quantidade"
"Created","Criado"
"Versions","Versões"
"Delete","Excluir"
"Are you sure?","Você tem certeza?"
"N/A","Não Disponível"
"Are you sure you want to delete this revision?","Você tem certeza de que deseja excluir esta revisão?"
"Publish","Publicar"
"Save and publish.","Salvar e publicar."
"Save in a new version.","Salve em uma nova versão."
"You must specify a new version name.","Você deve especificar um novo nome de versão."
"Please specify a valid name.","Por favor, especifique um nome válido."
"Edit Page '%1' Revision #%2","Edit Page '%1' Revision #%2"
"Edit Page '%1' New Revision","Edit Page '%1' New Revision"
"Revision Information","Revision Information"
"Save as new version.","Save as new version."
"New Revision...","New Revision..."
"Save and continue edit.","Save and continue edit."
"Edit Page '%1' Version '%2'","Edit Page '%1' Version '%2'"
"Version Information","Version Information"
"Revision","Revision"
"Author","Autor"
"Home","Home"
"Go to Home Page","Ir para a página inicial"
"You copied the pages hierarchy to the selected scopes.","You copied the pages hierarchy to the selected scopes."
"Something went wrong while copying the hierarchy.","Something went wrong while copying the hierarchy."
"Please correct the scope.","Por favor, corrija o escopo."
"You deleted the pages hierarchy from the selected scopes.","You deleted the pages hierarchy from the selected scopes."
"Something went wrong while deleting the hierarchy.","Something went wrong while deleting the hierarchy."
"CMS","CMS"
"CMS Page Trees","CMS Page Trees"
"You have saved the hierarchy.","You have saved the hierarchy."
"Something went wrong while saving the hierarchy.","Something went wrong while saving the hierarchy."
"Manage Pages","Gerenciar páginas"
"Edit Page","Editar Página"
"New Page","Nova Página"
"Pages","Pages"
"Please select version(s).","Please select version(s)."
"A total of %1 record(s) have been deleted.","Um total de %1 registro(s) foram excluídos."
"Something went wrong while deleting these versions.","Something went wrong while deleting these versions."
"You have deleted the revision.","You have deleted the revision."
"Something went wrong while deleting the revision.","Something went wrong while deleting the revision."
"We can't find a revision to delete.","We can't find a revision to delete."
"We could not load the specified revision.","We could not load the specified revision."
"Edit Revision","Editar revisão"
"You have published the revision.","Você publicou a revisão."
"You have saved the revision.","Você salvou a revisão."
"You have deleted the version.","Você excluiu a versão."
"Something went wrong while deleting this version.","Something went wrong while deleting this version."
"We can't find a version to delete.","We can't find a version to delete."
"Edit Version","Editar versão"
"Please select revision(s).","Por favor, selecione a revisões."
"Something went wrong while deleting the revisions.","Something went wrong while deleting the revisions."
"You have created the new version.","Você criou uma nova versão."
"You have saved the version.","Você salvou a versão."
"Private","Privado"
"Protected","Protegido"
"Public","Público"
"Delete Multiple Hierarchies","Delete Multiple Hierarchies"
"Please correct the node data.","Please correct the node data."
