"Add Tax","Add Tax"
"Delete Tax","Delete Tax"
"All Websites","Todos os sites"
"FPT","FPT"
"We found a duplicate of website, country and state fields for a fixed product tax","We found a duplicate of website, country and state fields for a fixed product tax"
"Including FPT only","Including FPT only"
"Including FPT and FPT description","Including FPT and FPT description"
"Excluding FPT. Including FPT description and final price","Excluding FPT. Including FPT description and final price"
"Excluding FPT","Excluding FPT"
"label_value","label_value"
"frontend_label","rótulo_frontend"
"Fixed Product Tax","Fixed Product Tax"
"Excl. Tax","Excl. Impostos"
"Total","Total"
"Incl. Tax","Imposto Incl."
"Total Incl. Tax","Total Incl. Tax"
"Website","Website"
"Country/State","Country/State"
"Tax","Taxa"
"Action","Ação"
"Final Price","Final Price"
"Fixed Product Taxes","Fixed Product Taxes"
"Enable FPT","Enable FPT"
"Display Prices In Product Lists","Display Prices In Product Lists"
"Display Prices On Product View Page","Display Prices On Product View Page"
"Display Prices In Sales Modules","Display Prices In Sales Modules"
"Display Prices In Emails","Display Prices In Emails"
"Apply Tax To FPT","Apply Tax To FPT"
"Include FPT In Subtotal","Include FPT In Subtotal"
