"Credit card type","Tipo de cartão de crédito"
"CVV result","Resultado CVV"
"Postcode AVS check","Postcode AVS check"
"Address AVS check","Address AVS check"
"Country comparison check","Country comparison check"
"Risk Score","Índice de Risco"
"Not supported","Not supported"
"Not checked","Not checked"
"Matched","Matched"
"Not matched","Not matched"
"Partially matched","Partially matched"
"No such order id.","No such order id."
"Gateway response is not valid.","Gateway response is not valid."
"Wrong response type","Tipo de resposta errada"
"Currency doesn't match.","Currency doesn't match."
"Amount doesn't match.","Amount doesn't match."
"Not supported response.","Not supported response."
"Gateway processing error.","Gateway processing error."
"Transaction was not placed.","A transação não foi efetuada."
"None","Nenhum"
"Authorize","Autorizar"
"Authorize and Capture","Autorizar e Capturar"
"Refused","Recusado"
"Authorised","Autorizado"
"Error","Erro"
"Captured","Capturado"
"Payment was canceled","O pagamento foi cancelado"
"Please ","Por favor "
"continue shopping","continue shopping"
"Your payment has been successfully processed by our shop system.","O seu pagamento foi processado com sucesso pelo nosso sistema da loja."
"Please click ","Por favor clique "
"here","aqui"
" if you are not redirected automatically."," if you are not redirected automatically."
"Worldpay","Worldpay"
"Enabled","Habilitado"
"Title","Título"
"Payment Response Password","Payment Response Password"
"Remote Admin Installation ID","Remote Admin Installation ID"
"Remote Admin Authorisation Password","Remote Admin Authorisation Password"
"MD5 Secret for Transactions","MD5 Secret for Transactions"
"Allow To Edit Contact Information","Allow To Edit Contact Information"
"Hide Contact Information","Hide Contact Information"
"Debug","Depurar/Debug"
"Test Mode","Test Mode"
"Payment Action for Test","Payment Action for Test"
"Payment Action","Payment Action"
"Payment From Applicable Countries","Payment From Applicable Countries"
"Payment From Specific Countries","Payment From Specific Countries"
"Set Order Status to Suspected Fraud for CVV","Set Order Status to Suspected Fraud for CVV"
"Set Order Status to Suspected Fraud for Postcode AVS","Set Order Status to Suspected Fraud for Postcode AVS"
"Sort Order","Ordernação"
