"Now Shopping by","Comprar por"
"Previous","Anterior"
"Remove","Remover"
"Remove This Item","Remover este Item"
"Shop By","Filtrar por"
"Clear All","Limpar Tudo"
"Shopping Options","Opções de Compra"
"%name,","%name,"
"Welcome to %store_name.","Bem-vindo a %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Para entrar em nosso site, use estas credenciais durante a compra ou na página <a href=""%customer_url"">Conta</a>:"
"Email:","E-mail:"
"Password:","Senha:"
"Password you set when creating account","Senha que você definiu ao criar a conta"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Esqueceu sua senha? Clique <a href=""%reset_url""> aqui</a> para redefinir."
"When you sign in to your account, you will be able to:","Quando você entrar em sua conta, você vai poder:"
"Quick Checkout","Compra Rápida"
"Proceed through checkout faster","Finalizar a compra de forma mais rápida"
"Order Status","Situação do pedido"
"Check the status of orders","Verificar o status dos seus pedidos"
"Manage Addresses","Gerenciar endereços"
"Store alternative addresses","Endereços alternativos da loja"
"For shipping to multiple family members and friends","Para enviar para vários familiares e amigos"
"Order History","Histórico de pedidos"
"View past orders","Ver os pedidos que você já realizou"
"About Us","Sobre nós"
"Customer Service","Atendimento ao cliente"
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone""> %store_phone</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Horário de Funcionamento:<br /><span class=""no-link"">%store_hours</span>."
"Thank you for your order from %store_name.","Obrigado pelo seu pedido na loja %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Você pode verificar o status do seu pedido ao <a href=""%account_url""> logar em sua conta</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Se você tem perguntas sobre seu pedido, você pode nos enviar em <a href=""mailto:%store_email""> %store_email</a>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Your Credit Memo #%creditmemo_id for Order #%order_id"
"Billing Info","Informações de cobrança"
"Shipping Info","Informações de entrega"
"Payment Method","Forma de pagamento"
"Shipping Method","Método de Entrega"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Seu pedido #%increment_id foi atualizado com um status de <strong>%order_status</strong>."
"Your Invoice #%invoice_id for Order #%order_id","Your Invoice #%invoice_id for Order #%order_id"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","Once your package ships we will send you a tracking number."
"Your Order <span class=""no-link"">#%increment_id</span>","Your Order <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Placed on <span class=""no-link"">%created_at</span>"
"Your shipping confirmation is below. Thank you again for your business.","Your shipping confirmation is below. Thank you again for your business."
"Your Shipment #%shipment_id for Order #%order_id","Your Shipment #%shipment_id for Order #%order_id"
