"Backup options","Opções de backup"
"Warning","Atenção"
"Cancel","Cancelar"
"Ok","Ok"
"Insert Widget...","Inserir Widget..."
"No records found.","Nenhum registro encontrado."
"Recent items","Itens Recentes"
"Show all...","Mostrar todos..."
"Method %s does not exist on jQuery.decorate","O método %s não existe no jQuery.decorate"
"Close","Fechar"
"Please wait...","Por favor, aguarde..."
"Loading...","Carregando..."
"All ","Todos "
"more","mais"
"Save","Salvar"
"Translate","Traduzir"
"Submit","Enviar"
"Please enter a value less than or equal to %s.","Por favor, insira um valor menor ou igual a %s."
"Please enter a value greater than or equal to %s.","Por favor, insira um valor maior ou igual a %s."
"Maximum length of this field must be equal or less than %1 symbols.","O tamanho máximo deste campo é %1 caracteres."
"This is a required field.","Este é um campo obrigatório."
"Please enter a date between %min and %max.","Por favor, insira uma data entre %min e %max."
"Please enter a valid year (1900-%1).","Por favor, insira um ano válido (1900-%1)."
"Please enter a valid day (1-%1).","Por favor, insira um dia válido (1-%1)."
"Please enter a date from the past.","Por favor, insira uma data do passado."
